Messmodul	OFT
Versuchsart	Standardversuch	mit Standard-Messplattform
Start des Versuchs	28.01.2025 16:34:47
Ende des Versuchs	28.01.2025 16:34:57
Versuchsdauer	10	Sekunden	00:00:10
Bemerkung	
Sachbearbeiter	vel
Versuchsbezeichnung	PI High-Load Modul
Umgebungsbedingungen	
Solltemperatur	0,0	°C
Temperierwartezeit	0	Sekunden	00:00:00
Abtastrate	1000	Hz
Mittelungen	1	Werte
Oberprobe Bezeichnung	Al2O3_K-1
Oberprobe Beschichtung	
Oberprobe Lieferant	
Oberprobe Geometrie	Kugel D = 3 mm
Oberprobe Bemerkung	
Unterprobe Bezeichnung	KS_35-mm_1
Unterprobe Beschichtung	
Unterprobe Lieferant	
Unterprobe Geometrie	
Unterprobe Bemerkung	Keramikstreifen 35 mm
Schmierstoff verwendet	Ja
Schmierstoff Bezeichnung	Fett PhysikInstrumente
Schmierstoff Menge	
Schmierstoff Lieferant	
Schmierstoff Bemerkung	
Hub Exzenter	1,0	mm
Startdrehzahl	600	U/min
Startbelastung	10	N
Probenwinkel	0,00	°
Probenradius	90,00	mm

Versuch mit Stufen	Nein

Anzahl Datensätze	10032

Nummer	Zeit	Reibungskraft	Belastung	Reibungsmoment	Reibungszahl	Verschleiss	Temperatur	Position	Drehzahl	Externer Eingang 1	Externer Eingang 2	Externer Eingang 3	RK OFT Links	RK OFT Rechts	RK SOP Links	RK SOP Rechts	Belastung Links	Belastung Rechts
	s	N	N	Nmm		mm°C	mm	U/min	°C	mm	bar	N	N	N	N	N	N
0	0,000	1,71	11,45	0	0,14958	0,001	33,5	1,55	600,0	22,375	-0,002	-0,0012	-0,28	2,18	0,29	-0,67	5,71	5,73
1	0,001	1,57	11,45	0	0,13692	0,001	33,5	1,52	600,0	22,369	-0,002	-0,0013	-0,26	2,20	0,33	-0,70	5,73	5,72
2	0,002	1,37	11,39	0	0,12034	0,001	33,5	1,49	600,0	22,385	-0,001	-0,0013	-0,28	2,17	0,30	-0,68	5,71	5,68
3	0,003	1,22	11,37	0	0,10733	0,000	33,5	1,46	600,0	22,379	-0,002	-0,0012	-0,28	2,15	0,33	-0,71	5,69	5,68
4	0,004	1,07	11,31	0	0,09477	0,001	33,5	1,42	600,0	22,372	-0,002	-0,0012	-0,31	2,15	0,32	-0,73	5,69	5,62
5	0,005	0,92	11,25	0	0,08218	0,001	33,5	1,38	600,0	22,379	-0,002	-0,0013	-0,32	2,12	0,30	-0,73	5,68	5,58
6	0,006	0,75	11,27	0	0,06656	0,001	33,5	1,33	600,0	22,379	-0,002	-0,0013	-0,38	2,09	0,27	-0,78	5,69	5,58
7	0,007	0,44	11,25	0	0,03890	0,001	33,5	1,29	600,0	22,372	-0,001	-0,0012	-0,50	1,96	0,27	-0,74	5,69	5,56
8	0,008	0,06	11,20	0	0,00558	0,001	33,5	1,24	600,0	22,379	-0,002	-0,0012	-0,66	1,79	0,24	-0,74	5,66	5,54
9	0,009	0,41	11,12	0	0,03731	0,002	33,5	1,20	600,0	22,379	-0,002	-0,0014	-0,95	1,61	0,24	-0,78	5,64	5,48
10	0,010	0,81	11,08	-1	0,07322	-0,001	33,5	1,15	600,0	22,382	-0,002	-0,0013	-1,11	1,36	0,24	-0,76	5,60	5,48
11	0,011	1,19	11,06	-1	0,10726	0,000	33,5	1,09	600,0	22,375	-0,002	-0,0014	-1,34	1,18	0,26	-0,73	5,58	5,48
12	0,012	1,49	11,04	-1	0,13470	-0,001	33,5	1,04	600,0	22,366	-0,002	-0,0013	-1,53	1,02	0,23	-0,73	5,58	5,46
13	0,013	1,75	11,00	0	0,15872	0,001	33,5	0,98	600,0	22,366	-0,002	-0,0013	-1,69	0,86	0,23	-0,70	5,54	5,46
14	0,014	1,87	11,00	0	0,16986	0,001	33,5	0,92	600,0	22,363	-0,002	-0,0013	-1,79	0,77	0,26	-0,71	5,52	5,48
15	0,015	1,88	10,95	0	0,17142	0,000	33,5	0,87	600,0	22,363	-0,002	-0,0013	-1,84	0,74	0,21	-0,71	5,50	5,44
16	0,016	1,89	10,89	-1	0,17312	0,000	33,5	0,81	600,0	22,360	-0,002	-0,0014	-1,85	0,69	0,21	-0,73	5,45	5,44
17	0,017	1,71	10,89	0	0,15706	0,000	33,5	0,75	600,0	22,360	-0,002	-0,0014	-1,79	0,74	0,18	-0,73	5,45	5,44
