time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,108	10,103	0	0,0	6307,3	0,0
1	0,003	45	10,105	10,108	10,103	10	28,8	6307,3	0,0
2	0,003	45	10,105	10,108	10,103	10	29,8	6307,3	0,0
3	0,112	45	10,105	10,108	10,103	10	30,8	6307,3	0,0
4	0,248	44	10,105	10,108	10,103	157	31,3	6307,3	-7,2
5	0,284	44	10,105	10,107	10,103	304	31,9	6307,3	-6,1
6	0,308	44	10,105	10,107	10,103	455	32,4	6307,3	-5,2
7	0,290	44	10,105	10,107	10,103	1615	33,8	6307,4	-57,1
8	0,259	43	10,105	10,107	10,103	2776	35,2	6307,5	-108,5
9	0,247	43	10,105	10,108	10,103	4352	36,7	6307,5	-70,7
10	0,238	40	10,105	10,108	10,103	5927	38,1	6307,4	-32,9
11	0,234	40	10,105	10,108	10,103	5980	38,8	6307,4	-32,8
12	0,235	39	10,105	10,108	10,103	6030	39,6	6307,4	-32,8
13	0,226	40	10,105	10,108	10,103	6080	40,3	6307,4	-32,9
14	0,225	40	10,105	10,108	10,103	6085	40,3	6307,4	-67,1
15	0,222	40	10,105	10,108	10,103	6090	40,3	6307,4	-101,2
16	0,221	40	10,105	10,108	10,103	6087	41,9	6307,4	-102,7
17	0,219	40	10,105	10,107	10,103	6083	43,6	6307,3	-104,1
18	0,218	40	10,105	10,107	10,103	6080	45,2	6307,3	-105,6
19	0,217	40	10,105	10,107	10,103	6077	45,9	6307,3	-105,2
20	0,215	40	10,105	10,107	10,103	6073	46,6	6307,3	-104,9
21	0,215	40	10,105	10,107	10,103	6070	47,3	6307,3	-104,5
22	0,213	40	10,105	10,107	10,103	6065	48,1	6307,3	-70,1
23	0,211	40	10,105	10,107	10,103	6060	48,9	6307,3	-35,7
24	0,209	40	10,105	10,107	10,103	6053	50,1	6307,3	-59,2
25	0,208	40	10,105	10,107	10,103	6047	51,3	6307,3	-83,2
26	0,209	40	10,105	10,107	10,103	6040	52,5	6307,3	-107,2
27	0,204	40	10,105	10,107	10,103	6037	53,0	6307,3	-105,3
28	0,205	40	10,105	10,108	10,103	6033	53,5	6307,3	-103,4
29	0,201	40	10,105	10,108	10,103	6030	54,0	6307,3	-101,4
30	0,201	40	10,105	10,108	10,103	6025	54,9	6307,3	-62,7
31	0,199	40	10,105	10,108	10,103	6020	55,9	6307,3	-23,9
32	0,198	40	10,105	10,108	10,103	6015	56,6	6307,3	-58,2
33	0,198	40	10,105	10,107	10,103	6010	57,4	6307,3	-93,2
34	0,194	40	10,105	10,107	10,103	6003	58,3	6307,3	-99,2
35	0,193	40	10,105	10,108	10,103	5997	59,3	6307,3	-104,3
36	0,194	40	10,105	10,108	10,103	5990	60,2	6307,3	-109,4
37	0,190	40	10,105	10,108	10,103	5980	61,2	6307,3	-109,4
38	0,189	40	10,105	10,107	10,103	5970	62,1	6307,3	-109,4
39	0,188	40	10,105	10,108	10,103	5965	62,8	6307,3	-99,7
40	0,186	40	10,105	10,108	10,103	5960	63,5	6307,3	-90,1
41	0,186	40	10,105	10,108	10,103	5960	64,1	6307,3	-65,6
42	0,184	40	10,105	10,108	10,103	5960	64,7	6307,3	-41,1
43	0,184	40	10,105	10,108	10,103	5960	65,3	6307,3	-16,8
44	0,180	40	10,105	10,108	10,103	5955	66,0	6307,3	-64,4
45	0,179	40	10,105	10,108	10,103	5950	66,7	6307,3	-111,9
46	0,179	40	10,105	10,108	10,103	5943	67,6	6307,3	-114,1
47	0,176	40	10,105	10,107	10,103	5937	68,5	6307,3	-116,3
48	0,176	40	10,105	10,107	10,103	5930	69,4	6307,3	-118,4
49	0,174	40	10,105	10,107	10,103	5927	70,0	6307,3	-118,4
50	0,172	40	10,105	10,107	10,103	5923	70,6	6307,3	-118,4
51	0,171	40	10,105	10,107	10,103	5920	71,2	6307,3	-118,4
52	0,171	40	10,105	10,107	10,103	5915	71,8	6307,3	-108,3
53	0,169	40	10,105	10,107	10,103	5910	72,5	6307,3	-98,1
54	0,168	40	10,105	10,107	10,103	5900	73,1	6307,3	-108,8
55	0,166	40	10,105	10,108	10,103	5890	73,6	6307,3	-119,6
56	0,166	40	10,105	10,108	10,103	5880	74,2	6307,3	-130,3
57	0,160	40	10,105	10,108	10,103	5875	75,5	6307,3	-138,6
58	0,159	41	10,105	10,108	10,103	5870	76,8	6307,3	-146,8
59	0,161	40	10,105	10,108	10,103	5870	77,4	6307,3	-140,2
60	0,160	40	10,105	10,107	10,103	5870	78,0	6307,3	-133,7
61	0,156	40	10,105	10,107	10,103	5870	78,6	6307,3	-133,7
62	0,160	40	10,105	10,107	10,103	5870	79,1	6307,3	-133,7
63	0,155	40	10,105	10,107	10,103	5870	79,7	6307,3	-133,7
64	0,153	40	10,105	10,107	10,103	5863	80,6	6307,3	-95,2
65	0,153	41	10,105	10,108	10,103	5857	81,6	6307,3	-56,5
66	0,151	41	10,105	10,108	10,103	5850	82,5	6307,3	-17,8
67	0,149	41	10,105	10,108	10,103	5843	82,9	6307,3	-58,3
68	0,149	41	10,105	10,107	10,103	5837	83,4	6307,3	-98,9
69	0,148	41	10,105	10,107	10,103	5830	83,8	6307,3	-139,4
70	0,148	41	10,105	10,107	10,103	5830	84,4	6307,3	-112,6
71	0,146	41	10,105	10,107	10,103	5830	85,0	6307,3	-85,9
72	0,146	41	10,105	10,107	10,103	5820	85,4	6307,3	-104,1
73	0,145	41	10,105	10,108	10,103	5810	85,8	6307,3	-122,3
74	0,144	41	10,105	10,108	10,103	5800	86,2	6307,3	-140,5
75	0,142	41	10,105	10,108	10,103	5800	87,1	6307,3	-142,8
76	0,141	41	10,105	10,108	10,103	5800	88,1	6307,3	-145,1
77	0,140	41	10,105	10,108	10,103	5800	89,0	6307,3	-147,4
78	0,138	41	10,105	10,108	10,103	5793	89,9	6307,3	-123,8
79	0,138	41	10,105	10,108	10,103	5787	90,8	6307,4	-100,3
80	0,138	41	10,105	10,108	10,103	5780	91,7	6307,4	-76,9
81	0,138	41	10,105	10,108	10,103	5780	92,1	6307,4	-76,9
82	0,136	41	10,105	10,108	10,103	5780	92,4	6307,4	-76,9
83	0,137	41	10,105	10,108	10,103	5780	92,8	6307,4	-77,0
84	0,133	41	10,105	10,108	10,103	5773	93,3	6307,4	-99,2
85	0,134	41	10,105	10,108	10,103	5767	93,9	6307,3	-121,3
86	0,132	41	10,105	10,108	10,103	5760	94,4	6307,3	-143,5
87	0,133	41	10,105	10,108	10,103	5757	94,8	6307,3	-144,1
88	0,131	41	10,105	10,108	10,103	5753	95,1	6307,4	-144,6
89	0,131	41	10,105	10,108	10,103	5750	95,5	6307,4	-145,2
