time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,107	10,103	0	0,0	6344,5	0,0
1	0,000	0	10,105	10,107	10,103	0	0,0	6347,0	0,0
2	0,142	45	10,105	10,107	10,103	23	24,9	6349,4	0,0
3	0,142	45	10,105	10,107	10,103	47	25,2	6351,9	-13,0
4	0,208	45	10,105	10,107	10,103	72	25,4	6384,6	-13,5
5	0,250	45	10,105	10,107	10,103	926	25,9	6417,3	-14,0
6	0,254	44	10,105	10,107	10,103	1780	26,4	6449,8	-14,5
7	0,238	43	10,105	10,107	10,103	2640	26,8	4268,0	-22,6
8	0,233	42	10,105	10,107	10,103	3501	27,1	2086,3	-30,7
9	0,233	42	10,105	10,107	10,103	4360	27,5	-92,8	-38,8
10	0,231	41	10,105	10,107	10,103	4707	28,1	-83,2	-45,3
11	0,228	41	10,105	10,107	10,103	5054	28,6	-73,7	-51,7
12	0,226	41	10,105	10,107	10,103	5400	29,2	-64,1	-58,2
13	0,224	41	10,105	10,107	10,103	5405	30,8	-47,0	-58,2
14	0,225	41	10,105	10,107	10,103	5410	32,4	-30,0	-58,2
15	0,223	41	10,105	10,107	10,103	5410	33,2	-44,1	-85,8
16	0,224	41	10,105	10,107	10,103	5410	33,9	-58,1	-113,4
17	0,221	41	10,105	10,107	10,103	5410	34,7	-72,2	-141,0
18	0,221	41	10,105	10,107	10,103	5403	35,9	-74,4	-130,4
19	0,220	41	10,105	10,107	10,103	5397	37,0	-76,7	-119,7
20	0,220	41	10,105	10,107	10,103	5390	38,2	-78,9	-109,1
21	0,219	41	10,105	10,107	10,103	5383	39,0	-69,0	-119,2
22	0,218	41	10,105	10,107	10,103	5377	39,8	-59,0	-129,2
23	0,213	42	10,105	10,107	10,103	5370	40,6	-49,0	-139,2
24	0,213	42	10,105	10,107	10,103	5360	41,6	-18,4	-118,7
25	0,211	42	10,105	10,107	10,103	5350	42,5	12,2	-98,1
26	0,214	42	10,105	10,107	10,103	5340	43,4	-4,4	-98,1
27	0,209	42	10,105	10,107	10,103	5330	44,2	-20,9	-98,1
28	0,209	42	10,105	10,107	10,103	5320	45,4	2,6	-117,3
29	0,207	42	10,105	10,107	10,103	5310	46,6	26,0	-136,5
30	0,209	42	10,105	10,107	10,103	5300	47,5	26,4	-112,4
31	0,206	42	10,105	10,107	10,103	5290	48,4	26,8	-88,4
32	0,207	42	10,105	10,107	10,103	5277	49,5	2169,4	-104,8
33	0,205	42	10,105	10,107	10,103	5263	50,7	4312,4	-121,3
34	0,204	42	10,105	10,107	10,103	5250	51,8	6453,5	-137,7
35	0,202	42	10,105	10,107	10,103	5240	51,8	6453,5	-120,6
36	0,204	42	10,105	10,107	10,103	5230	51,8	6453,5	-103,6
37	0,201	42	10,105	10,107	10,103	5220	51,8	6451,6	-86,5
38	0,202	42	10,105	10,107	10,103	5217	53,8	4308,2	-68,5
39	0,201	42	10,105	10,107	10,102	5213	55,8	2164,9	-50,5
40	0,201	42	10,105	10,107	10,102	5210	57,8	27,9	-32,6
41	0,198	42	10,105	10,107	10,102	5200	58,6	10,8	-57,2
42	0,196	42	10,105	10,107	10,102	5190	59,4	-3,9	-81,8
43	0,196	42	10,105	10,107	10,102	5180	59,9	2138,0	-99,8
44	0,194	42	10,105	10,107	10,102	5170	60,4	4280,0	-117,7
45	0,193	42	10,105	10,107	10,102	5160	60,9	6417,5	-135,6
46	0,193	42	10,105	10,107	10,102	5150	61,9	6430,6	-135,6
47	0,193	42	10,105	10,107	10,102	5140	62,9	6443,6	-135,6
48	0,191	42	10,105	10,107	10,102	5123	63,9	6438,1	-117,9
49	0,191	42	10,105	10,107	10,103	5107	64,9	6432,7	-100,3
50	0,187	42	10,105	10,107	10,103	5090	65,9	6424,4	-82,6
51	0,189	42	10,105	10,107	10,103	5083	66,5	4252,4	-101,4
52	0,186	42	10,105	10,107	10,103	5077	67,2	2080,5	-120,2
53	0,186	42	10,105	10,107	10,103	5070	67,8	-88,4	-138,9
54	0,184	42	10,105	10,107	10,103	5057	68,3	-74,0	-139,7
55	0,185	42	10,105	10,107	10,103	5043	68,8	-59,7	-140,4
56	0,184	42	10,105	10,107	10,103	5030	69,3	-38,1	-141,1
57	0,183	42	10,105	10,107	10,103	5027	70,2	2116,3	-120,1
58	0,183	42	10,105	10,107	10,103	5023	71,2	4270,6	-99,1
59	0,181	42	10,105	10,107	10,103	5020	72,1	6425,0	-78,1
60	0,179	42	10,105	10,107	10,103	5007	72,8	6437,4	-63,4
61	0,178	42	10,105	10,107	10,102	4993	73,6	6431,5	-48,8
62	0,178	42	10,105	10,107	10,102	4980	74,3	6413,9	-34,3
63	0,176	42	10,105	10,107	10,102	4975	75,4	3172,0	-54,0
64	0,175	42	10,105	10,107	10,102	4970	76,5	-67,7	-73,7
65	0,174	42	10,105	10,107	10,102	4967	77,1	-58,9	-75,6
66	0,173	42	10,105	10,107	10,103	4963	77,7	-50,0	-77,4
67	0,172	42	10,105	10,107	10,103	4960	78,3	-41,2	-79,3
68	0,169	42	10,105	10,107	10,103	4943	79,2	-39,4	-74,8
69	0,169	42	10,105	10,107	10,103	4927	80,0	-37,6	-70,4
70	0,168	42	10,105	10,107	10,103	4910	80,9	-35,8	-65,9
71	0,166	42	10,105	10,107	10,103	4903	81,5	-47,5	-71,5
72	0,165	42	10,105	10,107	10,103	4897	82,0	-59,2	-77,0
73	0,166	42	10,105	10,107	10,103	4890	82,6	-70,9	-82,5
74	0,163	42	10,105	10,108	10,103	4880	83,2	-64,9	-82,5
75	0,162	42	10,105	10,108	10,103	4870	83,8	-58,9	-82,5
76	0,161	42	10,105	10,108	10,103	4857	84,8	-66,9	-95,6
77	0,159	42	10,105	10,107	10,103	4843	85,7	-75,0	-108,6
78	0,159	42	10,105	10,107	10,103	4830	86,7	-83,0	-121,6
79	0,158	42	10,105	10,107	10,103	4825	87,3	-82,3	-126,1
80	0,158	42	10,105	10,107	10,103	4820	87,9	-81,6	-130,4
81	0,158	42	10,105	10,107	10,103	4815	88,5	-81,4	-100,1
82	0,155	42	10,105	10,107	10,103	4810	89,1	-77,4	-69,8
83	0,154	42	10,105	10,107	10,103	4805	89,9	3169,1	-78,7
84	0,154	42	10,105	10,107	10,103	4800	90,7	6409,2	-87,5
85	0,152	42	10,105	10,107	10,103	4793	91,1	4255,1	-104,3
86	0,150	42	10,105	10,107	10,102	4787	91,5	2101,1	-121,1
87	0,150	42	10,105	10,107	10,102	4780	91,9	-46,0	-137,9
88	0,149	42	10,105	10,107	10,102	4770	92,5	3187,5	-105,9
89	0,148	42	10,105	10,107	10,102	4760	93,0	6413,9	-74,0
90	0,148	42	10,105	10,107	10,102	4743	93,9	4247,3	-63,0
91	0,147	42	10,105	10,108	10,103	4727	94,8	2080,7	-52,1
92	0,144	42	10,105	10,108	10,103	4710	95,7	-62,7	-41,4
93	0,143	42	10,105	10,108	10,103	4700	96,3	3180,7	-83,9
94	0,143	42	10,105	10,107	10,103	4690	96,9	6415,4	-126,4
95	0,143	42	10,105	10,107	10,103	4683	97,4	4259,6	-115,4
96	0,139	42	10,105	10,107	10,103	4677	97,9	2103,9	-104,4
97	0,138	42	10,105	10,107	10,103	4670	98,4	-38,9	-93,5
98	0,138	42	10,105	10,107	10,103	4660	99,0	3172,1	-112,3
99	0,139	42	10,105	10,107	10,103	4650	99,5	6378,5	-131,1
100	0,139	42	10,105	10,107	10,103	4640	100,0	6381,3	-126,3
101	0,139	42	10,105	10,107	10,102	4630	100,5	6384,0	-121,5
102	0,139	42	10,105	10,107	10,102	4620	101,0	6386,8	-116,6
103	0,138	42	10,105	10,107	10,102	4617	101,7	6369,8	-119,3
104	0,144	42	10,105	10,107	10,102	4613	102,5	6352,2	-122,2
105	0,136	42	10,105	10,107	10,102	4610	103,2	6330,7	-125,1
106	0,134	42	10,105	10,107	10,102	4597	104,0	4188,7	-116,7
107	0,134	42	10,105	10,107	10,103	4583	104,9	2046,6	-108,3
108	0,133	42	10,105	10,107	10,103	4570	105,7	-69,7	-100,1
109	0,131	42	10,105	10,107	10,103	4560	106,2	3169,7	-112,6
110	0,131	42	10,105	10,107	10,103	4550	106,7	6399,6	-125,2
111	0,131	42	10,105	10,107	10,103	4543	107,2	6414,8	-125,2
112	0,129	42	10,105	10,107	10,102	4537	107,6	6430,1	-125,2
113	0,129	42	10,105	10,107	10,102	4530	108,1	6445,1	-125,2
114	0,128	42	10,105	10,107	10,102	4517	108,8	6429,0	-123,9
115	0,128	42	10,105	10,107	10,103	4503	109,6	6412,8	-122,7
116	0,128	42	10,105	10,107	10,103	4490	110,3	6396,7	-121,3
117	0,127	42	10,105	10,107	10,103	4480	110,8	6404,9	-89,3
118	0,125	42	10,105	10,107	10,103	4470	111,3	6413,0	-57,4
119	0,126	42	10,105	10,107	10,103	4460	111,8	6404,4	-56,3
120	0,126	42	10,105	10,107	10,103	4450	112,2	6395,9	-55,3
121	0,124	42	10,105	10,107	10,103	4440	112,7	6387,4	-54,3
122	0,124	42	10,105	10,107	10,103	4427	113,0	6387,1	-78,2
123	0,124	42	10,105	10,107	10,103	4413	113,4	6386,9	-102,2
124	0,122	42	10,105	10,107	10,103	4400	113,7	6386,6	-126,0
125	0,123	42	10,105	10,107	10,103	4393	114,2	6390,5	-123,4
126	0,121	42	10,105	10,107	10,103	4387	114,6	6394,4	-120,8
127	0,122	42	10,105	10,107	10,103	4380	115,1	6398,4	-118,1
128	0,121	42	10,105	10,107	10,103	4370	116,2	6408,3	-96,3
129	0,120	42	10,105	10,107	10,102	4360	117,4	6418,2	-74,6
