              Visible data range export v1.02, export Date: 07.11.2024 15:44:09

0,006000	-418	-0,003
0,006977	-418	-0,002
0,007953	-418	0,005
0,008930	-423	0,005
0,009906	-423	0,004
0,010883	-423	0,004
0,011859	-423	-0,002
0,012836	-418	-0,002
0,013813	-418	0,003
0,014789	-418	0,003
0,015766	-413	0,002
0,016742	-413	0,004
0,017719	-418	0,001
0,018695	-418	0,005
0,019672	-413	-0,003
0,020648	-413	0,003
0,021625	-413	0,001
0,022602	-413	0,000
0,023578	-413	-0,005
0,024555	-413	-0,003
0,025531	-413	-0,003
0,026508	-413	-0,002
0,027484	-409	0,002
0,028461	-413	0,001
0,029438	-409	0,001
0,030414	-413	-0,007
0,031391	-409	-0,003
0,032367	-413	0,002
0,033344	-413	0,000
0,034320	-409	-0,006
0,035297	-409	-0,004
0,036273	-409	0,001
0,037250	-409	0,004
0,038227	-409	0,001
0,039203	-409	0,006
0,040180	-409	0,001
0,041156	-409	-0,002
0,042133	-409	-0,002
0,043109	-409	-0,004
0,044086	-385	0,002
0,045063	-409	-0,001
0,046039	-409	-0,008
0,047016	-409	-0,001
0,047992	-409	-0,003
0,048969	-404	-0,007
0,049945	-404	0,000
0,050922	-404	0,000
0,051898	-404	0,007
0,052875	-409	0,003
0,053852	-409	0,001
0,054828	-404	-0,001
0,055805	-404	-0,004
0,056781	-409	0,003
0,057758	-409	0,000
0,058734	-404	-0,001
0,059711	-404	-0,008
0,060688	-404	-0,005
0,061664	-404	0,000
0,062641	-404	0,000
0,063617	-404	0,002
0,064594	-404	0,003
0,065570	-404	0,002
0,066547	-399	-0,001
0,067523	-404	-0,002
0,068500	-404	-0,005
0,069477	-404	-0,006
0,070453	-409	0,001
0,071430	-409	-0,002
0,072406	-404	-0,002
0,073383	-409	0,000
0,074359	-409	0,003
0,075336	-404	-0,002
0,076313	-399	0,001
0,077289	-404	0,006
0,078266	-404	0,001
0,079242	-409	0,000
0,080219	-404	0,006
0,081195	-409	0,001
0,082172	-409	0,000
0,083148	-404	-0,003
0,084125	-404	-0,001
0,085102	-399	0,002
0,086078	-404	-0,008
0,087055	-404	-0,003
0,088031	-409	-0,001
0,089008	-409	0,001
0,089984	-409	0,002
0,090961	-409	-0,008
0,091938	-404	0,001
0,092914	-404	0,001
0,093891	-404	0,004
0,094867	-404	-0,003
0,095844	-404	-0,005
0,096820	-404	0,002
0,097797	-409	0,001
0,098773	-409	0,001
0,099750	-404	0,001
0,100727	-404	-0,005
0,101703	-404	-0,001
0,102680	-404	-0,004
0,103656	-404	-0,003
0,104633	-413	-0,007
0,105609	-409	-0,005
0,106586	-409	0,004
0,107563	-409	-0,003
0,108539	-404	0,001
0,109516	-404	-0,001
0,110492	-409	0,001
0,111469	-404	-0,007
0,112445	-404	-0,003
0,113422	-404	-0,002
0,114398	-404	-0,002
0,115375	-409	-0,004
0,116352	-404	0,002
0,117328	-404	0,002
0,118305	-404	-0,001
0,119281	-404	0,003
0,120258	-404	-0,005
0,121234	-409	0,005
0,122211	-409	-0,002
0,123188	-409	0,000
0,124164	-409	0,002
0,125141	-409	0,001
0,126117	-409	-0,004
0,127094	-399	0,003
0,128070	-404	0,004
0,129047	-404	0,002
0,130023	-404	-0,001
0,131000	-409	0,002
0,131977	-409	-0,005
0,132953	-409	-0,010
0,133930	-409	-0,001
0,134906	-409	-0,007
0,135883	-409	-0,001
0,136859	-409	0,004
0,137836	-404	0,000
0,138813	-409	0,005
0,139789	-409	-0,005
0,140766	-409	0,000
0,141742	-409	-0,004
0,142719	-409	0,001
0,143695	-389	0,027
0,144672	-404	0,054
0,145648	-404	0,069
0,146625	-404	0,051
0,147602	-409	0,040
0,148578	-409	0,050
0,149555	-409	0,046
0,150531	-409	0,030
0,151508	-409	0,000
0,152484	-409	-0,022
0,153461	-404	-0,008
0,154438	-404	0,028
0,155414	-404	0,043
0,156391	-404	0,038
0,157367	-409	0,013
0,158344	-409	0,010
0,159320	-409	0,024
0,160297	-409	0,010
0,161273	-409	-0,031
0,162250	-409	-0,060
0,163227	-409	-0,052
0,164203	-404	-0,009
0,165180	-409	0,019
0,166156	-409	0,014
0,167133	-409	-0,009
0,168109	-409	-0,014
0,169086	-409	-0,005
0,170063	-409	-0,015
0,171039	-409	-0,053
0,172016	-409	-0,084
0,172992	-409	-0,078
0,173969	-409	-0,059
0,174945	-413	-0,027
0,175922	-409	-0,024
0,176898	-409	-0,037
0,177875	-409	-0,044
0,178852	-409	-0,043
0,179828	-409	-0,050
0,180805	-409	-0,080
0,181781	-413	-0,103
0,182758	-413	-0,115
0,183734	-409	-0,100
0,184711	-409	-0,091
0,185688	-409	-0,070
0,186664	-409	-0,069
0,187641	-409	-0,067
0,188617	-409	-0,073
0,189594	-409	-0,083
0,190570	-409	-0,103
0,191547	-413	-0,114
0,192523	-413	-0,120
0,193500	-413	-0,118
0,194477	-409	-0,115
0,195453	-413	-0,112
0,196430	-413	-0,106
0,197406	-413	-0,099
0,198383	-409	-0,102
0,199359	-413	-0,102
0,200336	-413	-0,119
0,201313	-418	-0,130
0,202289	-418	-0,128
