time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,107	10,102	0	0,0	6349,7	0,0
1	0,000	0	10,105	10,107	10,102	0	0,0	6352,0	0,0
2	0,000	44	10,105	10,107	10,103	0	24,8	6354,4	0,0
3	0,123	44	10,105	10,107	10,103	0	24,8	6356,7	-11,7
4	0,123	44	10,105	10,107	10,103	0	24,9	6357,1	-20,9
5	0,186	44	10,105	10,107	10,102	50	25,3	6357,4	-30,1
6	0,225	44	10,105	10,107	10,102	103	25,6	6357,8	-39,2
7	0,234	44	10,105	10,107	10,102	1587	26,2	6358,6	-36,0
8	0,231	43	10,105	10,107	10,103	3071	26,9	6359,4	-32,9
9	0,224	42	10,105	10,107	10,103	4552	27,5	6360,2	-29,7
10	0,226	42	10,105	10,107	10,103	5036	28,4	6360,8	-29,7
11	0,222	41	10,105	10,107	10,102	5520	29,2	6361,4	-29,7
12	0,221	41	10,105	10,107	10,102	5533	29,7	6361,6	-37,9
13	0,219	41	10,105	10,107	10,102	5547	30,2	6361,7	-46,0
14	0,218	41	10,105	10,107	10,102	5560	30,7	6361,9	-54,3
15	0,216	41	10,105	10,107	10,102	5560	31,8	6365,2	-85,0
16	0,213	41	10,105	10,107	10,102	5560	32,9	6368,4	-115,7
17	0,211	41	10,105	10,107	10,102	5560	34,0	6371,7	-146,4
18	0,210	41	10,105	10,108	10,103	5550	35,2	6375,4	-146,4
19	0,209	41	10,105	10,108	10,103	5540	36,3	6378,1	-146,4
20	0,209	41	10,105	10,108	10,103	5537	36,9	4221,9	-107,8
21	0,208	41	10,105	10,107	10,103	5533	37,5	2065,7	-69,3
22	0,208	41	10,105	10,107	10,103	5530	38,1	-82,9	-31,1
23	0,205	41	10,105	10,107	10,103	5515	39,0	-71,0	-88,2
24	0,204	41	10,105	10,107	10,103	5500	39,8	-59,1	-145,2
25	0,203	41	10,105	10,107	10,103	5490	41,2	-57,4	-106,3
26	0,204	41	10,105	10,107	10,103	5480	42,6	-55,8	-67,3
27	0,201	41	10,105	10,107	10,103	5470	44,0	-45,7	-28,5
28	0,201	41	10,105	10,107	10,103	5460	44,9	3199,3	-86,0
29	0,201	41	10,105	10,107	10,102	5450	45,7	6433,1	-143,3
30	0,201	41	10,105	10,107	10,102	5440	46,9	3166,3	-153,3
31	0,200	41	10,105	10,107	10,102	5430	48,0	-89,4	-163,1
32	0,199	41	10,105	10,107	10,103	5420	48,9	3181,1	-95,6
33	0,198	41	10,105	10,107	10,103	5410	49,7	6447,4	-28,2
34	0,198	41	10,105	10,107	10,103	5403	50,4	4264,5	-28,2
35	0,199	41	10,105	10,107	10,103	5397	51,2	2081,7	-28,2
36	0,198	42	10,105	10,107	10,103	5390	51,9	-92,9	-28,5
37	0,192	42	10,105	10,107	10,103	5375	52,8	-61,4	-114,6
38	0,195	42	10,105	10,107	10,103	5360	53,6	-30,0	-200,5
39	0,192	42	10,105	10,107	10,103	5347	54,8	-32,4	-180,3
40	0,194	41	10,105	10,107	10,103	5333	56,1	-34,9	-160,2
41	0,193	41	10,105	10,107	10,103	5320	57,3	-37,3	-140,1
42	0,189	41	10,105	10,107	10,103	5313	57,8	-35,6	-140,1
43	0,190	42	10,105	10,107	10,103	5307	58,3	-34,0	-140,1
44	0,188	42	10,105	10,107	10,103	5300	58,8	-32,3	-140,3
45	0,191	41	10,105	10,107	10,103	5285	58,8	-32,3	-177,9
46	0,187	42	10,105	10,107	10,103	5270	58,8	-32,3	-215,3
47	0,186	42	10,105	10,107	10,103	5260	60,5	-46,6	-171,5
48	0,186	42	10,105	10,107	10,103	5250	62,1	-60,9	-127,8
49	0,186	42	10,105	10,107	10,103	5240	63,8	-75,1	-84,3
50	0,185	42	10,105	10,107	10,103	5233	64,3	-77,5	-125,2
51	0,186	42	10,105	10,107	10,103	5227	64,8	-79,8	-166,1
52	0,184	42	10,105	10,107	10,103	5220	65,3	-82,1	-206,7
53	0,185	42	10,105	10,107	10,103	5205	66,3	-54,7	-148,3
54	0,184	42	10,105	10,107	10,103	5190	67,2	-27,4	-90,0
55	0,186	41	10,105	10,107	10,103	5177	68,1	-25,9	-70,6
56	0,184	41	10,105	10,107	10,102	5163	69,1	-24,4	-51,3
