time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,110	10,112	10,108	0	0,0	24,7	0,0
1	0,000	9	10,110	10,112	10,108	10	23,7	24,7	0,0
2	0,000	9	10,110	10,112	10,107	10	23,7	24,6	0,0
3	0,283	9	10,110	10,112	10,107	10	23,7	24,6	0,0
4	0,283	9	10,110	10,112	10,107	170	23,7	24,6	-5,2
5	0,381	9	10,110	10,112	10,108	330	23,7	24,6	-10,4
6	0,331	10	10,110	10,112	10,108	493	23,7	24,6	-15,6
7	0,291	10	10,110	10,112	10,108	1741	23,7	24,6	-15,6
8	0,270	10	10,110	10,112	10,108	2989	23,7	24,6	-15,6
9	0,266	10	10,110	10,112	10,108	4083	23,7	24,6	3,6
10	0,268	10	10,110	10,112	10,107	5177	23,7	24,6	22,8
11	0,273	10	10,110	10,112	10,107	5240	23,7	24,6	23,2
12	0,259	10	10,110	10,112	10,108	5300	23,7	24,6	23,6
13	0,264	10	10,110	10,112	10,108	5360	23,7	24,6	24,0
14	0,261	10	10,110	10,112	10,108	5357	23,7	24,6	23,0
15	0,269	10	10,110	10,113	10,108	5353	23,7	24,6	22,1
16	0,265	10	10,110	10,113	10,108	5350	23,7	24,6	21,1
17	0,262	10	10,110	10,113	10,108	5343	23,7	24,6	22,8
18	0,267	10	10,110	10,112	10,108	5337	23,7	24,6	24,6
19	0,262	10	10,110	10,112	10,108	5330	23,7	24,6	26,3
20	0,260	10	10,110	10,112	10,108	5325	23,8	24,6	26,3
21	0,270	10	10,110	10,112	10,108	5320	23,8	24,6	26,3
22	0,269	10	10,110	10,112	10,108	5313	23,8	24,6	14,9
23	0,263	10	10,110	10,112	10,108	5307	23,8	24,6	3,5
24	0,264	10	10,110	10,112	10,108	5300	23,8	24,6	-7,9
25	0,264	10	10,110	10,112	10,108	5295	23,7	24,6	-11,4
26	0,257	10	10,110	10,112	10,108	5290	23,7	24,6	-14,9
27	0,264	10	10,110	10,112	10,108	5285	23,8	24,6	-10,5
28	0,268	10	10,110	10,112	10,108	5280	23,8	24,6	-6,1
29	0,269	10	10,110	10,112	10,108	5275	23,8	24,6	-6,1
30	0,265	10	10,110	10,112	10,108	5270	23,8	24,6	-6,1
31	0,276	10	10,110	10,112	10,108	5260	23,8	24,6	4,0
32	0,267	10	10,110	10,112	10,108	5250	23,8	24,6	14,2
33	0,273	10	10,110	10,112	10,108	5240	23,8	24,6	24,3
34	0,273	10	10,110	10,112	10,108	5235	23,8	24,6	8,9
35	0,277	10	10,110	10,112	10,108	5230	23,8	24,6	-6,4
36	0,270	10	10,110	10,112	10,108	5230	23,8	24,6	6,9
37	0,276	10	10,110	10,112	10,107	5230	23,8	24,6	20,2
38	0,271	10	10,110	10,112	10,107	5230	23,8	24,6	33,5
39	0,265	10	10,110	10,113	10,108	5220	23,8	24,5	30,0
40	0,275	10	10,110	10,113	10,108	5210	23,8	24,5	26,5
41	0,271	10	10,110	10,113	10,108	5205	23,8	24,5	26,5
42	0,273	10	10,110	10,113	10,108	5200	23,8	24,5	26,5
43	0,270	10	10,110	10,113	10,108	5193	23,8	24,5	23,7
44	0,277	10	10,110	10,112	10,108	5187	23,8	24,5	20,8
45	0,271	10	10,110	10,112	10,108	5180	23,8	24,5	18,0
46	0,270	10	10,110	10,112	10,108	5177	23,8	24,5	8,7
47	0,276	10	10,110	10,112	10,108	5173	23,8	24,5	-0,6
48	0,269	10	10,110	10,112	10,108	5170	23,8	24,5	-9,9
49	0,266	10	10,110	10,112	10,108	5160	23,8	24,5	2,9
50	0,270	10	10,110	10,112	10,108	5150	23,8	24,5	15,7
51	0,269	10	10,110	10,112	10,108	5140	23,8	24,5	28,5
52	0,273	10	10,110	10,112	10,108	5135	23,8	24,5	9,9
53	0,276	10	10,110	10,112	10,108	5130	23,8	24,5	-8,6
54	0,270	10	10,110	10,112	10,108	5127	23,8	24,5	5,4
55	0,278	10	10,110	10,112	10,108	5123	23,8	24,5	19,4
56	0,268	10	10,110	10,112	10,108	5120	23,8	24,5	33,3
57	0,274	10	10,110	10,112	10,108	5115	23,8	24,5	33,3
58	0,276	10	10,110	10,112	10,108	5110	23,8	24,5	33,2
59	0,277	10	10,110	10,112	10,108	5105	23,8	24,5	14,5
60	0,272	10	10,110	10,112	10,108	5100	23,8	24,5	-4,3
61	0,276	10	10,110	10,112	10,108	5093	23,8	24,5	7,2
62	0,276	10	10,110	10,112	10,108	5087	23,8	24,5	18,8
63	0,264	10	10,110	10,112	10,108	5080	23,8	24,5	30,3
64	0,279	10	10,110	10,112	10,108	5077	23,8	24,5	18,1
65	0,268	10	10,110	10,112	10,107	5073	23,8	24,5	6,0
66	0,271	10	10,110	10,112	10,107	5070	23,8	24,5	-6,1
67	0,264	10	10,110	10,112	10,107	5065	23,8	24,5	-6,2
68	0,269	10	10,110	10,112	10,107	5060	23,8	24,5	-6,2
69	0,270	10	10,110	10,112	10,107	5050	23,8	24,5	-5,7
70	0,268	10	10,110	10,112	10,108	5040	23,8	24,5	-5,1
71	0,267	10	10,110	10,112	10,108	5030	23,8	24,5	-4,5
72	0,262	10	10,110	10,112	10,108	5025	23,8	24,5	18,7
73	0,268	10	10,110	10,112	10,107	5020	23,8	24,5	41,9
74	0,258	10	10,110	10,112	10,107	5017	23,8	24,5	38,4
75	0,263	10	10,110	10,112	10,107	5013	23,8	24,5	34,9
76	0,273	10	10,110	10,112	10,107	5010	23,8	24,5	31,4
77	0,261	10	10,110	10,112	10,107	5003	23,8	24,5	34,1
78	0,262	10	10,110	10,112	10,108	4997	23,8	24,5	36,8
79	0,265	10	10,110	10,112	10,108	4990	23,8	24,5	39,5
80	0,261	10	10,110	10,112	10,108	4983	23,8	24,5	39,5
81	0,259	10	10,110	10,112	10,108	4977	23,8	24,5	39,5
82	0,261	10	10,110	10,112	10,108	4970	23,8	24,5	39,5
83	0,260	10	10,110	10,112	10,108	4967	23,8	24,5	38,4
84	0,261	10	10,110	10,112	10,108	4963	23,8	24,5	37,2
85	0,261	10	10,110	10,112	10,108	4960	23,8	24,5	36,1
86	0,261	10	10,110	10,112	10,108	4953	23,8	24,5	22,5
87	0,247	10	10,110	10,112	10,108	4947	23,8	24,4	8,9
88	0,258	10	10,110	10,112	10,108	4940	23,8	24,4	-4,6
89	0,250	10	10,110	10,112	10,108	4935	23,8	24,4	-4,6
90	0,254	10	10,110	10,112	10,107	4930	23,8	24,4	-4,5
91	0,253	10	10,110	10,112	10,107	4920	23,8	24,4	8,5
92	0,254	10	10,110	10,112	10,107	4910	23,8	24,4	21,6
93	0,255	10	10,110	10,112	10,107	4900	23,8	24,4	34,6
94	0,266	10	10,110	10,112	10,107	4897	23,8	24,4	22,1
95	0,268	10	10,110	10,112	10,108	4893	23,8	24,4	9,4
96	0,264	10	10,110	10,112	10,108	4890	23,8	24,4	-3,2
97	0,266	10	10,110	10,112	10,108	4883	23,8	24,4	-0,2
98	0,266	10	10,110	10,112	10,107	4877	23,8	24,4	2,7
99	0,262	10	10,110	10,112	10,107	4870	23,8	24,4	5,7
100	0,262	10	10,110	10,112	10,107	4865	23,8	24,4	2,4
101	0,261	10	10,110	10,112	10,107	4860	23,8	24,4	-0,8
102	0,254	10	10,110	10,112	10,107	4853	23,8	24,4	1,7
103	0,254	10	10,110	10,112	10,107	4847	23,8	24,4	4,3
104	0,260	10	10,110	10,112	10,107	4840	23,8	24,4	6,8
105	0,247	10	10,110	10,112	10,107	4835	23,8	24,4	1,6
106	0,253	10	10,110	10,112	10,107	4830	23,8	24,4	-3,7
107	0,257	10	10,110	10,112	10,107	4823	23,8	24,4	8,5
108	0,252	10	10,110	10,112	10,107	4817	23,8	24,4	20,8
109	0,249	10	10,110	10,112	10,107	4810	23,8	24,4	32,9
110	0,239	10	10,110	10,112	10,107	4807	23,8	24,4	20,2
111	0,238	10	10,110	10,112	10,108	4803	23,8	24,4	7,5
112	0,239	10	10,110	10,112	10,108	4800	23,8	24,4	-5,2
113	0,244	10	10,110	10,112	10,108	4790	23,8	24,4	-5,2
114	0,239	10	10,110	10,112	10,108	4780	23,8	24,4	-5,2
115	0,235	10	10,110	10,112	10,108	4773	23,8	24,4	-5,1
116	0,234	10	10,110	10,112	10,108	4767	23,8	24,4	-4,9
117	0,236	10	10,110	10,112	10,108	4760	23,8	24,4	-4,8
118	0,234	10	10,110	10,112	10,108	4757	23,8	24,4	-4,8
119	0,255	9	10,110	10,112	10,107	4753	23,8	24,4	-4,8
120	0,246	9	10,110	10,112	10,107	4750	23,8	24,4	-4,7
121	0,238	10	10,110	10,112	10,107	4745	23,8	24,4	9,1
122	0,254	10	10,110	10,112	10,107	4740	23,8	24,4	22,9
123	0,266	10	10,110	10,112	10,107	4740	23,8	24,4	22,9
124	0,232	10	10,110	10,112	10,107	4740	23,8	24,4	22,9
125	0,251	10	10,110	10,112	10,107	4727	23,8	24,4	14,7
126	0,261	10	10,110	10,112	10,107	4713	23,8	24,4	6,6
127	0,381	10	10,110	10,112	10,107	4700	23,8	24,4	-1,2
128	0,307	10	10,110	10,112	10,107	4700	23,8	24,4	78,4
129	0,240	10	10,110	10,112	10,107	4700	23,8	24,4	158,0
130	0,178	10	10,110	10,112	10,107	4673	23,8	24,4	158,0
131	0,171	28	10,110	10,112	10,107	4647	23,8	24,4	158,0
132	0,174	46	10,110	10,112	10,107	4620	23,8	24,4	158,0
133	0,175	46	10,110	10,112	10,107	4570	23,8	24,4	141,7
134	0,175	46	10,110	10,112	10,107	4520	23,8	24,4	125,6
135	0,177	46	10,110	10,112	10,107	4510	24,0	24,4	157,1
136	0,179	46	10,110	10,112	10,107	4500	24,1	24,4	188,6
137	0,179	46	10,110	10,112	10,107	4490	24,8	24,5	171,7
138	0,176	46	10,110	10,112	10,107	4480	25,5	24,5	154,8
139	0,176	47	10,110	10,112	10,107	4470	26,2	24,6	138,1
140	0,178	47	10,110	10,112	10,107	4463	26,2	24,6	153,9
141	0,176	47	10,110	10,112	10,107	4457	26,2	24,6	169,7
142	0,178	47	10,110	10,112	10,107	4450	26,2	24,6	185,3
143	0,177	47	10,110	10,112	10,107	4430	26,7	24,7	144,1
144	0,180	47	10,110	10,112	10,107	4410	27,2	24,8	103,0
145	0,181	46	10,110	10,112	10,107	4390	27,7	24,9	61,9
146	0,183	46	10,110	10,112	10,107	4360	29,0	25,1	120,1
147	0,179	47	10,110	10,112	10,107	4331	30,4	25,4	178,8
148	0,179	47	10,110	10,112	10,107	4320	31,0	25,6	180,1
149	0,183	46	10,110	10,112	10,107	4310	31,7	25,7	180,1
150	0,182	47	10,110	10,112	10,107	4300	32,3	25,9	180,0
151	0,178	47	10,110	10,112	10,107	4280	33,9	26,4	163,5
152	0,179	47	10,110	10,112	10,107	4260	35,4	26,9	147,0
153	0,178	47	10,110	10,112	10,107	4250	36,1	27,2	120,2
154	0,178	47	10,110	10,112	10,107	4240	36,7	27,4	93,4
155	0,177	47	10,110	10,112	10,107	4230	37,4	27,7	66,8
156	0,178	47	10,110	10,112	10,107	4205	38,5	28,2	66,8
157	0,177	47	10,110	10,112	10,107	4180	39,5	28,6	66,8
158	0,178	47	10,110	10,112	10,107	4163	40,5	29,1	102,3
159	0,181	46	10,110	10,112	10,107	4147	41,5	29,5	137,8
160	0,176	46	10,110	10,112	10,107	4130	42,5	30,0	173,1
161	0,176	47	10,110	10,112	10,107	4120	43,0	30,3	165,5
162	0,179	46	10,110	10,112	10,107	4110	43,5	30,5	157,9
163	0,179	46	10,110	10,112	10,107	4100	44,0	30,8	150,3
164	0,177	46	10,110	10,112	10,107	4075	45,7	31,8	150,3
165	0,176	46	10,110	10,112	10,107	4050	47,4	32,7	150,2
166	0,178	46	10,110	10,112	10,107	4030	47,4	32,7	125,1
167	0,177	46	10,110	10,112	10,107	4010	47,4	32,7	100,1
168	0,178	46	10,110	10,112	10,107	3990	47,4	32,7	75,2
169	0,173	46	10,110	10,112	10,107	3997	49,0	33,7	100,4
170	0,175	46	10,110	10,112	10,107	4003	50,7	34,7	125,6
171	0,174	46	10,110	10,112	10,107	4010	52,3	35,7	150,8
172	0,173	46	10,110	10,112	10,107	4007	52,3	35,7	124,7
173	0,174	46	10,110	10,112	10,107	4003	52,3	35,7	98,6
174	0,173	46	10,110	10,112	10,107	4000	52,3	35,7	72,6
175	0,172	46	10,110	10,112	10,107	4007	53,4	36,4	101,4
176	0,171	46	10,110	10,112	10,107	4013	54,5	37,1	130,6
177	0,169	46	10,110	10,112	10,107	4020	55,6	37,8	159,3
178	0,166	46	10,110	10,112	10,107	4020	57,1	38,7	114,6
179	0,168	46	10,110	10,112	10,107	4020	58,5	39,6	70,1
180	0,168	46	10,110	10,112	10,107	4013	59,0	39,9	100,6
181	0,168	46	10,110	10,112	10,107	4007	59,4	40,3	131,1
182	0,166	46	10,110	10,112	10,107	4000	59,9	40,6	161,5
183	0,161	47	10,110	10,112	10,107	4010	60,5	41,0	130,1
184	0,160	47	10,110	10,112	10,107	4020	61,1	41,4	98,6
185	0,163	46	10,110	10,112	10,107	4030	61,7	41,8	67,2
186	0,162	46	10,110	10,112	10,107	4020	62,2	42,1	98,7
187	0,160	46	10,110	10,112	10,107	4010	62,6	42,4	130,2
188	0,159	46	10,110	10,112	10,107	4000	63,1	42,7	161,6
189	0,159	46	10,110	10,112	10,107	3995	64,0	43,4	161,6
190	0,158	46	10,110	10,112	10,107	3990	64,9	44,0	161,4
191	0,158	46	10,110	10,112	10,107	3995	66,2	45,0	114,7
192	0,157	46	10,110	10,112	10,107	4000	67,5	45,9	68,1
193	0,154	46	10,110	10,112	10,107	4007	68,1	46,3	100,3
194	0,154	46	10,110	10,112	10,107	4013	68,7	46,7	132,6
195	0,156	47	10,110	10,112	10,107	4020	69,3	47,1	164,7
196	0,153	47	10,110	10,112	10,107	4010	70,6	48,0	164,7
197	0,152	47	10,109	10,112	10,107	4000	71,9	48,9	164,7
198	0,155	46	10,109	10,112	10,107	4010	72,3	49,2	164,0
199	0,155	46	10,109	10,112	10,107	4020	72,8	49,6	163,2
200	0,150	46	10,109	10,112	10,107	4030	73,2	49,9	162,3
201	0,149	46	10,109	10,112	10,107	4027	73,8	50,3	130,4
202	0,151	46	10,109	10,112	10,107	4023	74,3	50,7	98,5
203	0,150	46	10,109	10,112	10,107	4020	74,9	51,1	66,8
204	0,150	46	10,110	10,112	10,107	4015	76,2	52,0	66,8
205	0,150	46	10,110	10,112	10,107	4010	77,4	52,9	66,8
206	0,149	46	10,110	10,112	10,107	4013	77,9	53,3	98,1
207	0,150	46	10,110	10,112	10,107	4017	78,5	53,7	129,4
208	0,149	46	10,110	10,112	10,107	4020	79,0	54,1	160,1
209	0,150	46	10,110	10,112	10,107	4005	79,0	54,1	113,5
210	0,148	46	10,109	10,112	10,107	3990	79,0	54,1	67,5
211	0,144	46	10,109	10,112	10,107	3990	79,7	54,6	107,9
212	0,147	46	10,109	10,112	10,107	3990	80,3	55,0	147,9
213	0,144	46	10,109	10,112	10,107	3993	81,2	55,7	148,9
214	0,144	46	10,109	10,112	10,107	3997	82,2	56,4	150,0
215	0,144	46	10,109	10,112	10,107	4000	83,1	57,1	151,0
216	0,144	46	10,109	10,112	10,107	4000	83,9	57,7	151,0
217	0,145	46	10,109	10,112	10,107	4000	84,7	58,2	151,0
218	0,143	46	10,109	10,112	10,107	4000	85,5	58,8	151,0
219	0,145	46	10,109	10,112	10,107	4003	86,0	59,2	152,7
220	0,143	46	10,109	10,112	10,107	4007	86,6	59,6	154,5
221	0,141	46	10,109	10,112	10,107	4010	87,1	60,0	156,2
222	0,136	46	10,109	10,112	10,107	4015	88,3	60,9	161,0
223	0,136	46	10,109	10,112	10,107	4020	89,4	61,8	165,7
224	0,136	46	10,109	10,112	10,107	4020	90,2	62,4	157,3
225	0,134	46	10,109	10,112	10,107	4020	90,9	62,9	148,9
226	0,134	46	10,109	10,112	10,107	4017	91,3	63,2	120,3
227	0,133	46	10,109	10,112	10,107	4013	91,7	63,5	91,5
228	0,133	46	10,109	10,112	10,107	4010	92,1	63,8	63,0
229	0,130	46	10,109	10,112	10,107	4010	92,5	64,1	92,8
230	0,129	46	10,109	10,112	10,107	4010	92,8	64,4	122,5
231	0,132	46	10,109	10,112	10,107	4010	93,2	64,7	152,2
232	0,133	46	10,109	10,112	10,107	4010	93,7	65,1	122,5
233	0,133	46	10,109	10,112	10,107	4010	94,2	65,5	92,6
234	0,129	46	10,109	10,112	10,107	4010	94,7	65,9	62,9
235	0,128	46	10,109	10,112	10,107	4010	95,4	66,5	92,1
236	0,126	46	10,109	10,112	10,107	4010	96,2	67,0	121,4
237	0,124	46	10,109	10,112	10,107	4010	96,9	67,6	150,0
238	0,123	46	10,109	10,112	10,107	4010	97,7	68,2	105,4
239	0,122	46	10,109	10,112	10,107	4010	98,4	68,7	61,0
240	0,121	46	10,109	10,112	10,107	4015	99,1	69,3	61,0
241	0,118	46	10,109	10,112	10,107	4020	99,8	69,9	61,0
242	0,118	46	10,109	10,112	10,107	4015	100,4	70,3	61,0
243	0,115	46	10,109	10,112	10,107	4010	100,9	70,8	61,0
244	0,116	46	10,109	10,112	10,107	4005	101,5	71,2	61,0
245	0,113	46	10,109	10,112	10,107	4000	102,0	71,6	61,0
246	0,113	46	10,109	10,112	10,107	4003	102,0	71,6	61,0
247	0,110	46	10,109	10,112	10,107	4007	102,0	71,6	61,0
248	0,110	46	10,109	10,112	10,107	4010	102,0	71,6	61,2
249	0,109	46	10,109	10,112	10,107	4010	103,2	72,6	103,3
250	0,111	46	10,109	10,112	10,107	4010	104,4	73,6	145,4
251	0,108	46	10,109	10,112	10,107	4010	105,1	74,1	153,1
252	0,108	46	10,109	10,112	10,107	4010	105,8	74,7	160,7
253	0,108	46	10,109	10,112	10,107	4010	106,5	75,2	168,1
254	0,108	46	10,109	10,112	10,107	4007	106,9	75,6	159,8
255	0,106	46	10,109	10,112	10,107	4003	107,4	75,9	151,4
256	0,105	46	10,109	10,112	10,107	4000	107,8	76,3	143,2
257	0,104	46	10,109	10,112	10,107	4003	108,9	77,2	151,6
