time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,107	10,102	0	0,0	24,7	0,0
1	0,000	0	10,105	10,107	10,103	0	0,0	24,7	0,0
2	0,076	44	10,105	10,107	10,103	10	25,2	24,7	0,0
3	0,076	44	10,105	10,107	10,103	10	25,6	24,7	0,0
4	0,204	44	10,105	10,107	10,103	17	25,9	24,7	0,0
5	0,249	44	10,105	10,107	10,103	23	26,3	24,7	-37,6
6	0,288	44	10,105	10,107	10,102	30	26,6	24,8	-75,3
7	0,293	44	10,105	10,107	10,102	775	27,4	24,8	-113,0
8	0,294	44	10,105	10,107	10,102	1519	28,3	24,9	-73,2
9	0,281	43	10,105	10,107	10,102	2738	29,0	24,9	-33,5
10	0,288	42	10,105	10,107	10,102	3958	29,7	25,0	-33,5
11	0,279	42	10,105	10,107	10,102	4293	30,9	25,0	-33,5
12	0,269	41	10,105	10,107	10,102	4626	32,0	25,1	-33,5
13	0,266	41	10,105	10,107	10,102	4960	33,2	25,2	-32,5
14	0,269	41	10,105	10,107	10,102	4957	33,7	25,4	-31,4
15	0,266	41	10,105	10,107	10,102	4953	34,3	25,5	-30,4
16	0,262	41	10,105	10,107	10,102	4950	34,8	25,5	-30,4
17	0,265	41	10,105	10,107	10,102	4937	35,5	25,5	-30,4
18	0,255	41	10,105	10,107	10,102	4923	36,3	25,6	-56,3
19	0,251	41	10,105	10,107	10,102	4910	37,0	25,7	-82,4
20	0,249	41	10,105	10,107	10,102	4903	37,5	25,8	-108,4
21	0,254	42	10,105	10,107	10,102	4897	38,1	26,1	-83,7
22	0,266	42	10,105	10,107	10,102	4890	38,6	26,4	-58,9
23	0,258	42	10,105	10,107	10,102	4885	39,6	26,7	-34,2
24	0,251	42	10,105	10,107	10,103	4880	40,7	27,1	-34,2
25	0,254	42	10,105	10,107	10,103	4880	42,3	27,6	-34,2
26	0,254	42	10,105	10,107	10,103	4880	43,8	27,8	-34,7
27	0,243	42	10,105	10,107	10,103	4880	45,4	27,9	-35,1
28	0,239	42	10,105	10,107	10,103	4877	46,1	28,1	-35,6
29	0,240	42	10,105	10,107	10,103	4873	46,7	28,5	-35,6
30	0,232	42	10,105	10,107	10,102	4870	47,4	28,9	-35,6
31	0,247	42	10,105	10,107	10,102	4860	47,9	29,1	-61,7
32	0,235	42	10,105	10,107	10,103	4850	48,4	29,3	-87,8
33	0,239	42	10,105	10,107	10,103	4840	48,9	29,5	-113,9
34	0,234	42	10,105	10,107	10,103	4825	49,9	29,9	-113,9
35	0,232	42	10,105	10,107	10,103	4810	50,8	30,3	-113,9
36	0,230	42	10,105	10,107	10,103	4803	51,8	30,8	-118,5
37	0,229	42	10,105	10,107	10,102	4797	52,7	31,2	-123,2
38	0,232	42	10,105	10,107	10,102	4790	53,7	31,7	-127,8
39	0,217	42	10,105	10,107	10,102	4780	54,2	32,0	-102,5
40	0,209	42	10,105	10,108	10,103	4770	54,6	32,2	-77,3
41	0,212	42	10,105	10,108	10,103	4760	55,1	32,5	-52,0
42	0,205	42	10,105	10,108	10,103	4753	55,7	32,8	-95,3
43	0,204	42	10,105	10,107	10,102	4747	56,3	33,2	-138,6
44	0,201	42	10,105	10,107	10,102	4740	56,9	33,5	-181,9
45	0,196	42	10,105	10,107	10,102	4745	57,6	33,8	-117,0
46	0,191	42	10,105	10,107	10,102	4750	58,3	34,2	-52,0
47	0,192	42	10,105	10,107	10,102	4750	59,8	35,1	-65,3
48	0,189	42	10,105	10,107	10,102	4750	61,2	36,0	-78,6
49	0,187	42	10,105	10,107	10,102	4750	62,7	36,9	-92,0
50	0,189	42	10,105	10,107	10,102	4750	63,3	37,3	-71,7
51	0,177	42	10,105	10,107	10,102	4750	64,0	37,7	-51,4
52	0,178	42	10,105	10,107	10,102	4743	64,5	38,0	-72,5
53	0,168	42	10,105	10,107	10,102	4737	64,9	38,2	-93,7
54	0,174	42	10,105	10,107	10,102	4730	65,4	38,5	-114,9
55	0,181	42	10,105	10,107	10,103	4720	66,2	39,0	-114,9
56	0,168	42	10,105	10,107	10,103	4710	67,1	39,6	-114,9
57	0,166	42	10,105	10,107	10,103	4697	67,5	39,9	-93,3
58	0,159	42	10,105	10,107	10,102	4683	68,0	40,1	-71,6
59	0,163	42	10,105	10,107	10,102	4670	68,4	40,4	-49,9
60	0,158	42	10,105	10,107	10,102	4663	69,0	40,8	-49,9
61	0,157	42	10,105	10,107	10,102	4657	69,5	41,1	-49,9
62	0,156	42	10,105	10,107	10,102	4650	70,1	41,5	-49,9
63	0,153	42	10,105	10,107	10,102	4637	71,5	42,4	-50,5
64	0,153	42	10,105	10,107	10,102	4623	72,9	43,3	-51,0
65	0,151	42	10,105	10,107	10,102	4610	74,3	44,2	-51,6
66	0,149	42	10,105	10,107	10,102	4607	74,7	44,5	-72,0
67	0,153	42	10,105	10,107	10,102	4603	75,1	44,7	-92,3
68	0,151	42	10,105	10,107	10,102	4600	75,5	45,0	-112,6
69	0,148	42	10,105	10,107	10,102	4590	76,2	45,4	-74,9
70	0,143	42	10,105	10,107	10,102	4580	76,8	45,8	-37,3
71	0,146	42	10,105	10,108	10,102	4575	77,6	46,3	-71,3
72	0,145	42	10,105	10,108	10,102	4570	78,4	46,9	-105,3
73	0,144	42	10,105	10,108	10,102	4560	79,0	47,3	-91,5
74	0,141	42	10,105	10,108	10,102	4550	79,6	47,7	-77,0
75	0,142	42	10,105	10,108	10,102	4535	80,2	48,1	-76,8
76	0,143	42	10,105	10,107	10,102	4521	80,8	48,5	-76,8
77	0,142	42	10,105	10,107	10,102	4510	81,7	49,1	-101,7
78	0,141	42	10,105	10,107	10,102	4500	82,7	49,8	-127,8
79	0,141	42	10,105	10,107	10,102	4490	83,6	50,4	-153,8
80	0,139	42	10,105	10,107	10,102	4480	84,0	50,7	-153,8
81	0,138	42	10,105	10,107	10,102	4470	84,4	50,9	-153,8
82	0,135	42	10,105	10,107	10,102	4460	84,8	51,2	-153,7
83	0,136	42	10,105	10,107	10,102	4445	85,6	51,7	-104,5
84	0,135	42	10,105	10,107	10,102	4430	86,3	52,2	-55,3
85	0,134	42	10,105	10,107	10,102	4417	86,7	52,5	-87,8
86	0,132	42	10,105	10,107	10,103	4403	87,1	52,7	-120,4
87	0,131	42	10,105	10,107	10,103	4390	87,5	53,0	-152,9
88	0,131	42	10,105	10,107	10,103	4387	88,4	53,6	-138,1
89	0,130	42	10,105	10,107	10,103	4383	89,2	54,2	-123,3
90	0,129	42	10,105	10,107	10,103	4380	90,1	54,8	-108,6
91	0,129	42	10,105	10,107	10,103	4367	90,8	55,3	-122,7
92	0,129	42	10,105	10,107	10,103	4353	91,6	55,9	-136,8
93	0,128	42	10,105	10,107	10,103	4340	92,3	56,4	-150,8
94	0,124	42	10,105	10,107	10,103	4330	93,1	56,9	-105,2
95	0,124	42	10,105	10,107	10,102	4320	93,8	57,4	-59,7
96	0,123	42	10,105	10,107	10,102	4315	94,4	57,8	-104,6
97	0,120	42	10,105	10,107	10,102	4310	94,9	58,2	-149,3
98	0,119	42	10,105	10,107	10,103	4300	95,5	58,6	-98,9
99	0,117	42	10,105	10,107	10,103	4290	96,0	58,9	-48,5
100	0,118	42	10,105	10,107	10,103	4275	96,8	59,4	-48,5
101	0,120	42	10,105	10,107	10,102	4260	97,5	59,9	-48,5
102	0,120	42	10,105	10,107	10,102	4257	97,8	60,2	-81,4
103	0,118	42	10,105	10,107	10,102	4253	98,2	60,4	-114,2
104	0,118	42	10,105	10,107	10,102	4250	98,5	60,7	-147,1
105	0,117	42	10,105	10,107	10,102	4233	99,2	61,2	-126,6
106	0,114	42	10,105	10,107	10,102	4217	100,0	61,7	-106,1
107	0,113	42	10,105	10,107	10,102	4200	100,7	62,2	-85,8
108	0,109	42	10,105	10,107	10,102	4190	101,4	62,7	-115,4
109	0,110	42	10,105	10,107	10,102	4180	102,1	63,2	-145,1
110	0,111	42	10,105	10,107	10,102	4170	102,4	63,4	-145,1
111	0,108	42	10,105	10,107	10,103	4160	102,8	63,7	-145,1
112	0,109	42	10,105	10,107	10,103	4150	103,1	63,9	-145,1
113	0,107	42	10,105	10,107	10,103	4143	103,9	64,5	-144,1
114	0,108	42	10,105	10,107	10,103	4137	104,7	65,1	-143,0
115	0,104	42	10,105	10,107	10,103	4130	105,5	65,7	-142,0
116	0,104	42	10,105	10,107	10,103	4123	105,8	65,9	-109,8
117	0,103	42	10,105	10,107	10,103	4117	106,2	66,2	-77,7
118	0,103	42	10,105	10,107	10,103	4110	106,5	66,4	-45,6
119	0,100	42	10,105	10,107	10,103	4097	107,0	66,7	-55,7
120	0,101	42	10,105	10,107	10,102	4083	107,4	67,1	-65,8
121	0,099	42	10,105	10,107	10,102	4070	107,9	67,4	-75,9
122	0,100	42	10,105	10,107	10,102	4060	108,2	67,6	-73,4
123	0,100	42	10,105	10,107	10,102	4050	108,6	67,9	-71,0
124	0,098	42	10,105	10,107	10,102	4040	108,9	68,1	-68,5
125	0,097	42	10,105	10,107	10,102	4027	109,3	68,4	-78,6
126	0,097	42	10,105	10,108	10,102	4013	109,8	68,8	-88,7
127	0,097	42	10,105	10,108	10,102	4000	110,2	69,1	-98,7
128	0,098	42	10,105	10,108	10,102	4000	110,9	69,6	-81,5
129	0,097	42	10,105	10,107	10,102	4000	111,5	70,0	-64,4
130	0,096	42	10,105	10,107	10,102	4000	112,2	70,5	-47,4
131	0,096	42	10,105	10,107	10,102	4000	113,2	71,2	-78,5
132	0,096	42	10,105	10,107	10,102	4000	114,2	71,9	-109,4
133	0,096	42	10,105	10,107	10,102	4010	114,9	72,4	-87,6
134	0,094	42	10,105	10,107	10,102	4020	115,5	72,8	-65,8
135	0,096	42	10,105	10,107	10,102	4013	116,1	73,3	-83,4
136	0,094	42	10,105	10,107	10,103	4007	116,8	73,7	-101,1
137	0,093	42	10,105	10,107	10,103	4000	117,4	74,2	-118,7
138	0,094	42	10,105	10,107	10,103	4003	117,4	74,2	-118,7
139	0,092	42	10,105	10,107	10,103	4007	117,4	74,2	-118,7
140	0,092	42	10,105	10,107	10,103	4010	117,4	74,2	-118,7
141	0,093	42	10,105	10,107	10,103	4005	118,0	74,7	-130,7
142	0,091	42	10,105	10,107	10,103	4000	118,5	75,1	-142,7
143	0,091	42	10,105	10,107	10,103	4007	119,1	75,6	-155,6
144	0,091	42	10,105	10,107	10,103	4013	119,7	76,2	-168,5
145	0,091	42	10,105	10,107	10,103	4020	120,3	76,7	-181,4
146	0,089	42	10,105	10,107	10,103	4015	120,9	77,3	-128,2
147	0,090	42	10,105	10,107	10,103	4010	121,6	78,0	-74,2
148	0,090	42	10,105	10,107	10,103	4007	121,8	78,2	-83,0
149	0,090	42	10,105	10,107	10,103	4003	122,0	78,5	-93,5
150	0,089	42	10,105	10,107	10,103	4000	122,2	78,7	-103,8
151	0,089	42	10,105	10,107	10,103	4000	122,6	79,1	-83,1
152	0,088	42	10,105	10,107	10,103	4000	123,0	79,5	-62,5
153	0,090	42	10,105	10,107	10,103	4005	123,3	79,8	-62,5
154	0,086	42	10,105	10,107	10,103	4010	123,5	80,1	-62,5
155	0,088	42	10,105	10,107	10,103	4007	123,9	80,5	-65,3
156	0,088	42	10,105	10,107	10,102	4003	124,4	81,0	-68,2
157	0,088	42	10,105	10,107	10,102	4000	124,8	81,4	-71,0
158	0,089	42	10,105	10,107	10,102	4005	125,1	81,7	-65,9
159	0,086	42	10,105	10,107	10,102	4010	125,4	82,0	-60,8
160	0,086	42	10,105	10,107	10,102	4010	125,8	82,4	-68,0
161	0,086	42	10,105	10,107	10,102	4010	126,1	82,7	-75,2
162	0,085	42	10,105	10,107	10,102	4007	126,1	82,7	-75,2
163	0,086	42	10,105	10,107	10,102	4003	126,1	82,7	-75,2
164	0,084	42	10,105	10,107	10,102	4000	126,1	82,7	-75,2
165	0,084	42	10,105	10,107	10,102	4003	126,7	83,2	-84,9
166	0,084	42	10,105	10,107	10,103	4007	127,2	83,8	-94,5
167	0,085	42	10,105	10,107	10,103	4010	127,8	84,3	-104,1
168	0,083	42	10,105	10,107	10,103	4010	128,0	84,5	-90,0
169	0,083	42	10,105	10,107	10,103	4010	128,3	84,7	-75,8
170	0,084	42	10,105	10,107	10,103	4010	128,5	84,9	-61,8
171	0,083	42	10,105	10,107	10,103	4010	128,5	84,9	-61,8
172	0,082	42	10,105	10,107	10,102	4010	128,5	84,9	-61,8
173	0,084	42	10,105	10,107	10,102	4007	129,1	85,4	-69,3
174	0,082	42	10,105	10,108	10,103	4003	129,7	86,0	-76,8
175	0,083	42	10,105	10,108	10,103	4000	130,3	86,5	-84,2
176	0,083	42	10,105	10,108	10,103	4005	130,6	86,8	-94,8
177	0,083	42	10,105	10,107	10,102	4010	130,8	87,0	-105,4
178	0,081	42	10,105	10,107	10,102	4013	130,9	87,1	-104,8
179	0,083	42	10,105	10,107	10,102	4017	131,1	87,3	-104,3
180	0,081	42	10,105	10,107	10,102	4020	131,2	87,4	-103,6
181	0,081	42	10,105	10,107	10,102	4015	131,6	87,7	-85,6
182	0,081	42	10,105	10,107	10,102	4010	131,9	88,0	-67,7
183	0,080	42	10,105	10,107	10,102	4007	132,3	88,3	-77,1
184	0,081	42	10,105	10,107	10,102	4003	132,6	88,7	-86,5
185	0,082	42	10,105	10,107	10,102	4000	133,0	89,0	-95,8
186	0,081	42	10,105	10,107	10,102	4005	133,3	89,2	-109,6
187	0,080	42	10,105	10,107	10,102	4010	133,5	89,4	-123,3
188	0,081	42	10,105	10,107	10,102	4010	133,7	89,6	-113,0
189	0,079	42	10,105	10,107	10,102	4010	133,8	89,7	-102,7
190	0,079	42	10,105	10,107	10,102	4010	134,0	89,9	-92,6
191	0,081	42	10,105	10,107	10,102	4007	134,2	90,1	-114,1
192	0,081	42	10,105	10,107	10,102	4003	134,4	90,2	-135,7
193	0,080	42	10,105	10,107	10,102	4000	134,6	90,4	-157,0
194	0,080	42	10,105	10,107	10,102	4000	134,9	90,6	-142,8
195	0,078	42	10,105	10,107	10,102	4000	135,1	90,8	-128,7
196	0,079	42	10,105	10,107	10,102	4003	135,5	91,1	-128,7
197	0,079	42	10,105	10,107	10,102	4007	135,8	91,4	-128,7
198	0,080	42	10,105	10,107	10,102	4010	136,2	91,7	-128,7
199	0,080	42	10,105	10,107	10,102	4010	136,4	91,8	-121,6
200	0,078	42	10,105	10,107	10,102	4010	136,5	92,0	-114,6
201	0,079	42	10,105	10,107	10,102	4010	136,7	92,1	-107,6
202	0,078	42	10,105	10,107	10,102	4010	137,1	92,4	-102,5
203	0,079	42	10,105	10,107	10,103	4010	137,4	92,7	-97,5
204	0,078	42	10,105	10,107	10,103	4010	137,8	93,0	-92,5
205	0,077	42	10,105	10,107	10,103	4010	138,1	93,2	-97,3
206	0,076	42	10,105	10,107	10,103	4010	138,3	93,4	-102,1
207	0,078	42	10,105	10,107	10,103	4007	138,7	93,7	-99,8
208	0,076	42	10,105	10,107	10,102	4003	139,0	94,0	-97,6
209	0,077	42	10,105	10,107	10,102	4000	139,4	94,3	-95,3
210	0,076	42	10,105	10,107	10,102	4003	139,5	94,4	-95,3
211	0,076	42	10,105	10,107	10,102	4007	139,7	94,6	-95,3
212	0,076	42	10,105	10,107	10,102	4010	139,8	94,7	-95,4
213	0,075	42	10,105	10,107	10,103	4010	139,8	94,7	-111,0
214	0,075	42	10,105	10,107	10,103	4010	139,8	94,7	-126,5
215	0,078	42	10,105	10,107	10,103	4007	140,3	95,1	-126,8
216	0,076	42	10,105	10,107	10,102	4003	140,8	95,5	-127,0
217	0,076	42	10,105	10,107	10,102	4000	141,3	95,9	-127,2
218	0,075	42	10,105	10,107	10,102	4005	141,5	96,1	-105,2
219	0,076	42	10,105	10,107	10,102	4010	141,7	96,2	-83,2
220	0,075	42	10,105	10,107	10,102	4007	141,9	96,4	-87,5
221	0,074	42	10,105	10,107	10,103	4003	142,0	96,5	-91,8
222	0,076	42	10,105	10,107	10,103	4000	142,2	96,7	-96,1
223	0,075	42	10,105	10,107	10,103	4003	142,4	96,9	-94,2
224	0,076	42	10,105	10,108	10,103	4007	142,7	97,2	-92,3
225	0,075	42	10,105	10,108	10,103	4010	142,9	97,4	-90,4
226	0,074	42	10,105	10,108	10,103	4007	143,1	97,6	-90,4
227	0,074	42	10,105	10,107	10,102	4003	143,2	97,7	-90,4
228	0,076	42	10,105	10,107	10,102	4000	143,4	97,9	-90,5
229	0,074	42	10,105	10,107	10,102	4003	143,6	98,1	-102,2
230	0,076	42	10,105	10,107	10,102	4007	143,9	98,4	-113,9
231	0,074	42	10,105	10,107	10,102	4010	144,1	98,6	-125,5
232	0,074	42	10,105	10,107	10,102	4005	144,3	98,8	-107,5
233	0,074	42	10,105	10,107	10,102	4000	144,5	99,0	-89,6
234	0,074	42	10,105	10,107	10,102	4000	144,7	99,2	-107,4
235	0,074	42	10,105	10,107	10,102	4000	144,8	99,3	-125,1
236	0,073	42	10,105	10,107	10,102	4007	144,9	99,4	-119,9
237	0,073	42	10,105	10,107	10,102	4013	145,0	99,5	-114,7
238	0,074	42	10,105	10,107	10,102	4020	145,1	99,6	-109,7
239	0,074	42	10,105	10,107	10,102	4017	145,3	99,8	-132,6
240	0,073	42	10,105	10,107	10,102	4013	145,6	100,1	-155,5
241	0,072	42	10,105	10,107	10,102	4010	145,8	100,3	-178,2
