time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,107	10,102	0	0,0	24,9	0,0
1	0,004	45	10,105	10,107	10,102	0	24,1	24,9	0,0
2	0,004	45	10,105	10,107	10,102	0	24,2	24,9	0,0
3	0,004	45	10,105	10,107	10,102	0	24,4	24,9	-20,5
4	0,183	44	10,105	10,107	10,103	0	24,5	24,9	-38,6
5	0,193	44	10,105	10,107	10,103	175	25,1	24,9	-56,8
6	0,215	44	10,105	10,107	10,103	350	25,8	24,9	-53,0
7	0,223	44	10,105	10,107	10,102	1503	26,3	24,9	-49,3
8	0,243	44	10,105	10,107	10,102	2658	26,9	24,9	-45,5
9	0,259	43	10,105	10,107	10,102	3791	27,9	24,9	-87,9
10	0,257	41	10,105	10,107	10,102	4924	29,0	24,9	-130,5
11	0,240	40	10,105	10,107	10,102	6057	30,0	24,9	-173,0
12	0,245	40	10,105	10,107	10,102	6060	30,0	24,9	-171,9
13	0,246	40	10,105	10,107	10,102	6060	30,0	24,9	-170,8
14	0,253	40	10,105	10,107	10,102	6060	30,0	24,9	-169,6
15	0,254	40	10,105	10,107	10,102	6047	31,7	25,0	-136,4
16	0,259	40	10,105	10,107	10,103	6033	33,5	25,1	-103,1
17	0,258	40	10,105	10,107	10,103	6020	35,2	25,2	-69,9
18	0,261	40	10,105	10,107	10,103	6015	36,3	25,3	-119,0
19	0,262	40	10,105	10,107	10,103	6010	37,4	25,4	-168,1
20	0,268	40	10,105	10,107	10,103	6000	38,2	25,4	-104,0
21	0,266	40	10,105	10,107	10,102	5990	39,0	25,5	-39,8
22	0,269	40	10,105	10,107	10,102	5983	39,5	25,6	-78,2
23	0,269	40	10,105	10,107	10,102	5977	40,1	25,6	-116,8
24	0,271	40	10,105	10,107	10,102	5970	40,6	25,7	-155,3
25	0,275	40	10,105	10,107	10,102	5957	41,3	25,8	-120,6
26	0,269	40	10,105	10,107	10,103	5943	42,0	25,9	-85,8
27	0,290	40	10,105	10,107	10,103	5930	42,7	26,0	-50,9
28	0,308	40	10,105	10,107	10,103	5923	43,2	26,1	-50,9
29	0,301	40	10,105	10,107	10,102	5917	43,8	26,2	-50,9
30	0,289	40	10,105	10,107	10,102	5910	44,3	26,3	-50,9
31	0,278	40	10,105	10,107	10,102	5900	46,1	26,7	-110,1
32	0,293	40	10,105	10,107	10,102	5890	47,9	27,1	-169,3
33	0,294	40	10,105	10,107	10,102	5880	48,9	27,4	-163,4
34	0,293	40	10,105	10,107	10,103	5870	49,9	27,6	-157,3
35	0,291	40	10,105	10,107	10,103	5860	50,9	27,9	-151,3
36	0,290	40	10,105	10,107	10,103	5855	51,9	28,2	-151,3
37	0,293	40	10,105	10,107	10,103	5850	52,8	28,5	-151,3
38	0,288	40	10,105	10,107	10,103	5845	53,5	28,7	-93,9
39	0,294	40	10,105	10,107	10,103	5840	54,2	28,9	-36,5
40	0,297	40	10,105	10,107	10,103	5840	54,9	29,2	-93,3
41	0,284	40	10,105	10,107	10,103	5840	55,6	29,5	-150,2
42	0,297	40	10,105	10,107	10,103	5830	56,3	29,7	-93,7
43	0,322	40	10,105	10,107	10,103	5820	57,0	30,0	-37,0
44	0,337	40	10,105	10,107	10,103	5813	57,6	30,2	-74,7
45	0,329	40	10,105	10,107	10,102	5807	58,2	30,5	-112,6
46	0,330	40	10,105	10,107	10,102	5800	58,8	30,7	-150,5
47	0,319	40	10,105	10,107	10,102	5790	59,5	31,0	-142,3
48	0,332	40	10,105	10,107	10,102	5780	60,2	31,3	-134,2
49	0,338	40	10,105	10,107	10,102	5770	61,2	31,8	-103,3
50	0,359	41	10,105	10,108	10,102	5760	62,3	32,2	-72,3
51	0,400	41	10,105	10,108	10,102	5750	63,3	32,7	-41,5
52	0,361	41	10,105	10,108	10,102	5735	64,0	33,0	-95,2
53	0,339	41	10,105	10,107	10,102	5720	64,6	33,3	-148,9
54	0,344	41	10,105	10,107	10,102	5720	65,2	33,6	-142,3
55	0,358	40	10,105	10,107	10,102	5720	65,8	33,8	-135,6
56	0,359	40	10,105	10,107	10,102	5720	66,4	34,1	-129,0
57	0,375	41	10,105	10,107	10,102	5710	67,2	34,5	-140,8
58	0,408	41	10,105	10,107	10,102	5700	68,1	35,0	-152,6
59	0,341	41	10,105	10,107	10,102	5690	68,9	35,4	-164,4
60	0,383	41	10,105	10,107	10,102	5685	69,7	35,8	-142,8
61	0,325	41	10,105	10,107	10,102	5680	70,6	36,3	-121,2
62	0,282	41	10,105	10,107	10,102	5683	70,6	36,3	-96,4
63	0,275	41	10,105	10,107	10,102	5687	70,6	36,3	-71,5
64	0,285	41	10,105	10,107	10,102	5690	70,6	36,3	-46,6
65	0,284	41	10,105	10,107	10,102	5687	71,9	36,9	-45,5
66	0,277	41	10,105	10,107	10,102	5683	73,1	37,6	-44,5
67	0,247	41	10,105	10,107	10,102	5680	74,4	38,2	-43,4
68	0,254	41	10,105	10,107	10,102	5680	75,2	38,6	-94,2
69	0,271	41	10,105	10,107	10,102	5680	76,0	39,1	-145,0
70	0,319	41	10,105	10,107	10,102	5670	76,0	39,1	-145,0
71	0,328	41	10,105	10,107	10,102	5660	76,0	39,1	-145,0
72	0,311	41	10,105	10,107	10,102	5653	77,0	39,6	-134,1
73	0,307	41	10,105	10,107	10,102	5647	77,9	40,0	-123,1
74	0,322	41	10,105	10,107	10,102	5640	78,9	40,5	-112,2
75	0,308	41	10,105	10,107	10,102	5633	79,7	40,9	-110,9
76	0,281	41	10,105	10,107	10,102	5627	80,5	41,4	-109,6
77	0,290	41	10,105	10,107	10,102	5620	81,3	41,8	-108,3
78	0,279	41	10,105	10,107	10,102	5620	81,3	41,8	-108,3
79	0,298	41	10,105	10,107	10,102	5620	81,3	41,8	-108,3
80	0,277	41	10,105	10,107	10,102	5620	81,3	41,8	-108,3
81	0,281	41	10,105	10,107	10,102	5613	82,6	42,5	-79,8
82	0,277	41	10,105	10,107	10,102	5607	83,9	43,2	-51,3
83	0,289	41	10,105	10,107	10,102	5600	85,2	43,9	-22,9
84	0,293	41	10,105	10,107	10,103	5595	86,0	44,4	-64,3
85	0,293	41	10,105	10,107	10,103	5590	86,8	44,8	-105,7
86	0,293	41	10,105	10,107	10,103	5580	87,2	45,0	-77,6
87	0,297	41	10,105	10,107	10,103	5570	87,5	45,2	-49,6
88	0,309	41	10,105	10,107	10,103	5560	87,9	45,4	-21,7
89	0,313	41	10,105	10,107	10,103	5540	88,5	45,7	-64,0
90	0,306	41	10,104	10,107	10,096	5520	89,1	46,0	-106,2
91	0,282	41	9,838	10,196	7,011	5510	90,0	46,5	-78,6
92	0,278	41	9,571	10,284	3,926	5500	90,8	47,0	-51,1
93	0,293	41	9,306	10,372	0,851	5490	91,7	47,5	-23,6
94	0,296	41	9,705	10,239	5,477	5485	92,3	47,8	-83,1
95	0,286	41	10,105	10,107	10,102	5480	92,8	48,1	-142,6
96	0,276	41	10,105	10,107	10,102	5470	92,8	48,1	-123,9
97	0,278	41	10,105	10,107	10,102	5460	92,8	48,1	-105,2
98	0,277	41	10,105	10,107	10,102	5457	93,3	48,4	-77,5
99	0,286	41	10,105	10,107	10,103	5453	93,8	48,7	-49,9
100	0,269	41	10,105	10,107	10,103	5450	94,3	49,0	-22,2
101	0,288	41	10,105	10,107	10,103	5437	95,5	49,7	-46,3
102	0,286	41	10,105	10,107	10,102	5423	96,8	50,3	-70,4
103	0,286	41	10,105	10,107	10,102	5410	98,0	51,0	-94,3
104	0,290	41	10,105	10,107	10,103	5400	98,5	51,3	-58,0
105	0,284	41	10,105	10,107	10,103	5390	99,0	51,6	-21,7
106	0,283	41	10,105	10,107	10,103	5387	99,0	51,6	-61,7
107	0,286	41	10,105	10,107	10,103	5383	99,0	51,6	-101,6
108	0,293	41	10,105	10,107	10,103	5380	99,0	51,6	-141,5
109	0,289	41	10,105	10,107	10,103	5380	99,7	52,0	-149,1
110	0,294	41	10,105	10,107	10,103	5380	100,4	52,4	-156,7
111	0,291	41	10,105	10,107	10,103	5370	101,4	53,0	-156,7
112	0,298	41	10,105	10,107	10,103	5360	102,5	53,6	-156,7
113	0,296	41	9,811	10,107	7,023	5337	103,3	54,1	-133,7
114	0,299	41	9,511	10,107	3,883	5313	104,2	54,5	-110,2
115	0,293	41	9,212	10,107	0,748	5290	105,0	55,0	-86,7
116	0,287	41	9,502	10,193	0,833	5287	105,3	55,2	-105,5
117	0,283	41	9,793	10,278	0,918	5283	105,7	55,4	-124,3
118	0,293	41	10,083	10,364	1,006	5280	106,0	55,6	-143,0
119	0,288	41	10,090	10,278	4,040	5267	106,8	56,1	-119,9
120	0,293	41	10,098	10,193	7,074	5253	107,6	56,5	-96,9
121	0,279	41	10,105	10,107	10,102	5240	108,4	57,0	-74,0
122	0,293	41	10,105	10,107	10,102	5225	108,9	57,3	-106,3
123	0,288	41	10,105	10,107	10,099	5210	109,4	57,6	-138,5
124	0,284	41	9,975	10,194	7,348	5207	109,4	57,6	-138,5
125	0,285	41	9,845	10,281	4,597	5203	109,4	57,6	-138,5
126	0,296	41	9,715	10,367	1,855	5200	109,4	57,6	-138,4
127	0,298	41	9,715	10,367	1,855	5200	110,1	58,0	-109,7
128	0,293	41	9,715	10,367	1,854	5200	110,7	58,4	-81,0
129	0,309	41	9,680	10,369	1,578	5177	111,7	59,0	-99,8
130	0,306	41	9,645	10,372	1,302	5153	112,7	59,5	-118,5
131	0,294	41	9,610	10,374	1,033	5130	113,7	60,1	-137,2
132	0,293	41	9,775	10,284	4,058	5120	113,7	60,1	-117,6
133	0,293	41	9,940	10,195	7,082	5110	113,7	60,1	-98,1
134	0,314	41	10,104	10,106	10,099	5100	113,7	60,1	-78,6
135	0,289	41	9,319	10,198	7,103	5097	114,8	60,7	-60,7
136	0,288	41	8,535	10,290	4,107	5093	115,8	61,4	-42,8
137	0,280	41	7,751	10,382	1,112	5090	116,9	62,0	-24,9
138	0,274	41	7,751	10,382	1,112	5090	117,3	62,2	-41,1
139	0,276	41	7,751	10,382	1,112	5090	117,7	62,5	-57,2
