              Visible data range export v1.02, export Date: 21.05.2024 16:54:13

0,006000	-529	0,059
0,006977	-529	0,067
0,007953	-529	0,070
0,008930	-529	0,065
0,009906	-529	0,064
0,010883	-524	0,057
0,011859	-529	0,058
0,012836	-524	0,061
0,013813	-524	0,063
0,014789	-524	0,066
0,015766	-524	0,058
0,016742	-524	0,063
0,017719	-519	0,059
0,018695	-519	0,061
0,019672	-519	0,062
0,020648	-519	0,065
0,021625	-519	0,069
0,022602	-514	0,058
0,023578	-514	0,067
0,024555	-514	0,060
0,025531	-514	0,058
0,026508	-514	0,062
0,027484	-514	0,068
0,028461	-505	0,063
0,029438	-510	0,063
0,030414	-505	0,053
0,031391	-505	0,066
0,032367	-505	0,062
0,033344	-500	0,061
0,034320	-505	0,064
0,035297	-505	0,067
0,036273	-505	0,060
0,037250	-500	0,057
0,038227	-500	0,059
0,039203	-500	0,063
0,040180	-495	0,056
0,041156	-495	0,070
0,042133	-495	0,061
0,043109	-495	0,061
0,044086	-495	0,063
0,045063	-495	0,067
0,046039	-495	0,061
0,047016	-500	0,064
0,047992	-486	0,063
0,048969	-486	0,057
0,049945	-486	0,059
0,050922	-486	0,066
0,051898	-486	0,065
0,052875	-486	0,066
0,053852	-481	0,062
0,054828	-481	0,061
0,055805	-481	0,061
0,056781	-481	0,062
0,057758	-476	0,058
0,058734	-476	0,059
0,059711	-471	0,067
0,060688	-476	0,062
0,061664	-476	0,063
0,062641	-471	0,060
0,063617	-471	0,060
0,064594	-466	0,057
0,065570	-466	0,066
0,066547	-466	0,065
0,067523	-466	0,063
0,068500	-462	0,066
0,069477	-462	0,068
0,070453	-462	0,062
0,071430	-457	0,067
0,072406	-457	0,061
0,073383	-452	0,063
0,074359	-457	0,055
0,075336	-452	0,061
0,076313	-452	0,066
0,077289	-452	0,061
0,078266	-447	0,065
0,079242	-452	0,066
0,080219	-447	0,063
0,081195	-447	0,060
0,082172	-438	0,069
0,083148	-438	0,065
0,084125	-438	0,069
0,085102	-438	0,063
0,086078	-442	0,062
0,087055	-438	0,068
0,088031	-433	0,067
0,089008	-438	0,065
0,089984	-428	0,062
0,090961	-428	0,064
0,091938	-423	0,066
0,092914	-423	0,067
0,093891	-423	0,065
0,094867	-433	0,057
0,095844	-423	0,059
0,096820	-423	0,065
0,097797	-418	0,068
0,098773	-413	0,065
0,099750	-413	0,064
0,100727	-413	0,062
0,101703	-413	0,065
0,102680	-409	0,064
0,103656	-409	0,062
0,104633	-409	0,061
0,105609	-409	0,064
0,106586	-404	0,067
0,107563	-404	0,066
0,108539	-394	0,063
0,109516	-394	0,073
0,110492	-394	0,063
0,111469	-394	0,066
0,112445	-394	0,059
0,113422	-394	0,062
0,114398	-389	0,067
0,115375	-394	0,061
0,116352	-385	0,064
0,117328	-385	0,063
0,118305	-380	0,062
0,119281	-380	0,059
0,120258	-380	0,060
0,121234	-380	0,065
0,122211	-375	0,062
0,123188	-380	0,062
0,124164	-380	0,058
0,125141	-375	0,064
0,126117	-370	0,069
0,127094	-365	0,068
