time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,104	10,106	10,102	0	0,0	6373,6	0,0
1	0,000	44	10,104	10,106	10,102	10	25,8	6373,6	0,0
2	0,149	44	10,104	10,106	10,102	10	26,2	6373,7	0,0
3	0,149	44	10,104	10,106	10,102	10	26,6	6373,7	7,3
4	0,196	44	10,104	10,106	10,102	380	26,6	6373,7	7,6
5	0,211	44	10,104	10,106	10,101	749	26,6	6373,7	7,9
6	0,218	44	10,104	10,106	10,102	2015	27,3	6373,9	-45,9
7	0,231	44	10,104	10,106	10,102	3282	28,0	6374,0	-99,7
8	0,246	43	10,104	10,106	10,102	4037	29,0	6373,9	-105,8
9	0,262	42	10,104	10,106	10,102	4789	30,0	6373,9	-111,5
10	0,278	41	10,104	10,106	10,102	5540	31,0	6373,8	-117,3
11	0,293	41	10,104	10,106	10,102	5545	32,1	6373,8	-170,4
12	0,301	41	10,104	10,106	10,102	5550	33,2	6373,8	-223,4
13	0,281	41	10,104	10,106	10,102	5553	34,4	6373,8	-217,1
14	0,279	41	10,104	10,106	10,102	5557	35,7	6373,8	-210,8
15	0,281	42	10,104	10,106	10,102	5560	36,9	6373,8	-204,4
16	0,278	42	10,104	10,106	10,102	5555	38,1	6374,0	-161,6
17	0,276	42	10,104	10,106	10,102	5550	39,3	6374,2	-118,9
18	0,271	42	10,104	10,106	10,102	5540	40,3	6375,2	-118,9
19	0,274	42	10,104	10,106	10,102	5530	41,2	6376,1	-118,9
20	0,274	42	10,104	10,106	10,102	5510	41,8	6377,4	-122,9
21	0,274	42	10,104	10,106	10,102	5490	42,4	6378,8	-126,8
22	0,277	42	10,104	10,106	10,102	5470	43,0	6380,1	-130,8
23	0,275	42	10,104	10,106	10,102	5457	43,8	6384,2	-118,7
24	0,278	42	10,104	10,106	10,102	5443	44,7	6388,3	-106,6
25	0,277	42	10,104	10,106	10,102	5430	45,5	6392,4	-94,5
26	0,276	42	10,104	10,106	10,102	5417	47,5	6397,0	-128,3
27	0,283	42	10,104	10,106	10,102	5403	49,4	6401,5	-162,1
28	0,278	42	10,104	10,106	10,102	5390	51,4	6406,1	-195,6
29	0,269	42	10,104	10,106	10,102	5377	51,4	6406,1	-167,2
30	0,269	42	10,104	10,107	10,102	5363	51,4	6406,1	-138,8
31	0,270	42	10,104	10,107	10,102	5350	51,4	6406,1	-110,4
32	0,277	42	10,104	10,107	10,102	5345	52,3	6407,0	-73,1
33	0,270	42	10,104	10,106	10,102	5340	53,1	6407,8	-36,1
34	0,276	42	10,104	10,106	10,102	5320	55,0	6416,2	-56,7
35	0,277	42	10,104	10,106	10,101	5300	56,8	6424,6	-77,4
36	0,289	42	10,104	10,106	10,101	5280	58,7	6433,0	-97,9
37	0,273	42	10,104	10,106	10,101	5273	59,2	6435,3	-77,3
38	0,281	42	10,104	10,106	10,101	5267	59,8	6437,5	-56,7
39	0,278	42	10,104	10,106	10,101	5260	60,3	6433,6	-36,1
40	0,279	42	10,104	10,106	10,101	5247	61,5	4278,3	-47,3
41	0,281	42	10,104	10,106	10,102	5233	62,7	2123,1	-58,5
42	0,266	42	10,104	10,106	10,102	5220	63,9	-30,0	-69,6
