time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	2,128	2,209	1,803	0	0,0	64,6	0,0
1	0,000	45	2,174	2,253	1,859	10	104,0	64,6	0,0
2	0,071	45	2,221	2,297	1,914	10	104,0	64,6	0,0
3	0,071	45	2,267	2,342	1,969	11	104,0	64,6	-10,1
4	0,091	44	2,255	2,759	1,504	681	104,8	64,5	-14,3
5	0,118	44	2,244	3,176	1,038	1350	105,7	64,4	-18,5
6	0,126	44	2,232	3,593	0,573	2020	106,5	64,3	-22,7
7	0,125	43	2,354	3,502	0,715	2914	107,3	64,3	-62,7
8	0,128	42	2,476	3,410	0,857	3808	108,0	64,2	-102,6
9	0,128	42	2,597	3,320	0,999	4701	108,8	64,2	-142,4
10	0,124	42	2,516	3,739	0,915	5004	109,8	64,2	-116,2
11	0,128	41	2,436	4,159	0,831	5307	110,8	64,2	-89,9
12	0,126	41	2,356	4,577	0,748	5610	111,8	64,2	-63,7
13	0,124	41	2,356	4,577	0,748	5607	112,4	64,2	-63,7
14	0,123	41	2,356	4,577	0,748	5603	112,9	64,3	-63,7
15	0,124	41	2,356	4,576	0,748	5600	113,5	64,3	-63,7
16	0,123	41	2,396	4,079	0,826	5583	114,4	64,4	-64,1
17	0,123	41	2,435	3,581	0,903	5567	115,2	64,4	-64,5
18	0,124	41	2,475	3,084	0,981	5550	116,1	64,5	-65,0
19	0,122	41	2,515	3,134	0,879	5535	116,8	64,6	-100,9
20	0,121	41	2,555	3,184	0,778	5520	117,4	64,6	-136,8
21	0,121	41	2,559	3,163	0,813	5513	117,9	64,7	-122,3
22	0,120	41	2,564	3,141	0,848	5507	118,5	64,7	-107,9
23	0,119	41	2,568	3,120	0,883	5500	119,0	64,8	-93,4
24	0,119	41	2,599	3,176	0,901	5483	119,8	64,9	-106,6
25	0,117	41	2,629	3,233	0,919	5467	120,7	65,0	-119,9
26	0,114	42	2,660	3,289	0,937	5450	121,5	65,1	-133,1
27	0,116	42	2,660	3,289	0,937	5435	122,3	65,3	-133,1
28	0,113	42	2,660	3,289	0,937	5420	123,1	65,4	-133,1
29	0,116	42	2,511	3,589	0,775	5410	123,1	65,4	-110,6
30	0,114	41	2,362	3,888	0,613	5400	123,1	65,4	-88,2
31	0,112	41	2,413	3,637	0,879	5393	123,6	65,5	-103,2
32	0,114	41	2,463	3,387	1,145	5387	124,1	65,6	-118,2
33	0,113	41	2,514	3,137	1,411	5380	124,6	65,7	-133,1
34	0,112	41	2,489	3,130	1,348	5370	125,8	66,1	-106,8
35	0,111	41	2,465	3,124	1,286	5360	126,9	66,4	-80,5
36	0,112	41	2,482	3,090	1,244	5340	127,6	66,6	-100,2
