time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,107	10,102	0	0,0	25,1	0,0
1	0,000	9	10,105	10,107	10,102	10	24,4	25,1	0,0
2	0,719	9	10,105	10,107	10,102	10	24,4	25,1	0,0
3	0,719	9	10,105	10,107	10,102	10	24,4	25,1	-13,8
4	0,715	9	10,105	10,107	10,102	563	24,4	25,1	-13,7
5	0,458	12	10,105	10,107	10,102	1117	24,4	25,1	-13,1
6	0,436	16	10,105	10,107	10,102	1672	24,4	25,1	-12,5
7	0,452	16	10,105	10,107	10,102	3462	24,4	25,1	-11,9
8	0,448	15	10,105	10,107	10,102	5250	24,4	25,1	-21,1
9	0,431	13	10,105	10,107	10,102	5340	24,4	25,1	-30,3
10	0,440	13	10,105	10,107	10,102	5430	24,4	25,1	-38,7
11	0,443	13	10,105	10,107	10,102	5430	24,4	25,1	-47,0
12	0,472	13	10,105	10,107	10,102	5430	24,4	25,1	-55,5
13	0,461	12	10,105	10,107	10,102	5430	24,4	25,1	-97,0
14	0,464	12	10,105	10,107	10,102	5430	24,4	25,1	-138,5
15	0,458	12	10,105	10,107	10,102	5430	24,4	25,1	-107,7
16	0,458	12	10,105	10,107	10,102	5423	24,4	25,1	-76,8
17	0,446	12	10,105	10,107	10,102	5417	24,4	25,1	-46,0
18	0,458	12	10,105	10,107	10,102	5410	24,4	25,1	-75,2
19	0,459	12	10,105	10,107	10,102	5405	24,4	25,1	-105,0
20	0,459	12	10,105	10,107	10,102	5400	24,4	25,1	-134,8
21	0,456	12	10,105	10,107	10,102	5397	24,4	25,1	-111,5
22	0,455	12	10,105	10,107	10,102	5393	24,4	25,1	-88,1
23	0,453	12	10,105	10,107	10,102	5390	24,4	25,1	-64,9
24	0,457	12	10,105	10,107	10,102	5385	24,4	25,1	-98,1
25	0,459	12	10,105	10,107	10,102	5380	24,4	25,1	-131,4
26	0,456	12	10,105	10,107	10,102	5373	24,4	25,1	-104,1
27	0,458	12	10,105	10,107	10,103	5367	24,4	25,1	-76,6
28	0,459	12	10,105	10,107	10,103	5360	24,4	25,1	-49,2
29	0,458	12	10,105	10,107	10,103	5357	24,4	25,1	-54,2
30	0,458	12	10,105	10,107	10,102	5353	24,4	25,1	-59,6
31	0,451	12	10,105	10,107	10,102	5350	24,4	25,1	-65,0
32	0,442	12	10,105	10,107	10,102	5345	24,4	25,1	-57,5
33	0,448	12	10,105	10,107	10,102	5340	24,4	25,1	-50,1
34	0,450	12	10,105	10,107	10,102	5330	24,4	25,1	-55,1
35	0,455	12	10,105	10,107	10,102	5320	24,4	25,1	-60,0
36	0,449	12	10,105	10,107	10,102	5310	24,4	25,1	-65,0
37	0,452	12	10,105	10,107	10,102	5310	24,4	25,1	-95,4
38	0,454	12	10,105	10,107	10,102	5310	24,4	25,1	-125,7
39	0,459	12	10,105	10,107	10,102	5303	24,4	25,1	-100,6
40	0,452	12	10,105	10,107	10,102	5297	24,4	25,1	-75,3
41	0,461	12	10,105	10,107	10,102	5290	24,4	25,1	-50,0
42	0,461	12	10,105	10,107	10,102	5285	24,4	25,1	-56,8
43	0,460	12	10,105	10,107	10,102	5280	24,4	25,1	-63,8
44	0,465	12	10,105	10,107	10,102	5273	24,4	25,1	-83,5
45	0,467	12	10,105	10,107	10,102	5267	24,4	25,1	-103,3
46	0,469	12	10,105	10,107	10,102	5260	24,4	25,1	-123,0
47	0,468	12	10,105	10,107	10,102	5253	24,4	25,1	-102,2
48	0,476	12	10,105	10,107	10,102	5247	24,4	25,1	-81,2
49	0,482	12	10,105	10,107	10,102	5240	24,4	25,1	-60,2
50	0,481	12	10,105	10,107	10,102	5240	24,4	25,1	-89,7
51	0,478	12	10,105	10,107	10,102	5240	24,4	25,1	-119,3
52	0,478	12	10,105	10,107	10,102	5230	24,4	25,1	-98,9
53	0,474	12	10,105	10,107	10,102	5220	24,4	25,1	-78,4
54	0,470	12	10,105	10,107	10,102	5210	24,4	25,1	-58,0
55	0,474	12	10,105	10,107	10,102	5205	24,4	25,1	-86,8
56	0,479	12	10,105	10,107	10,102	5200	24,4	25,1	-116,0
57	0,475	12	10,105	10,107	10,102	5197	24,4	25,1	-92,9
58	0,476	12	10,105	10,107	10,102	5193	24,4	25,1	-69,4
