time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,107	10,102	0	0,0	6329,9	0,0
1	0,000	45	10,105	10,107	10,102	10	24,1	6330,1	0,0
2	0,174	44	10,105	10,107	10,102	10	24,3	6330,4	0,0
3	0,174	44	10,105	10,107	10,102	10	24,6	6330,4	18,9
4	0,254	44	10,105	10,107	10,102	1015	24,8	6330,3	18,9
5	0,288	44	10,105	10,107	10,102	2026	25,1	6330,3	19,0
6	0,273	44	10,105	10,107	10,102	3038	25,3	6330,3	5,9
7	0,246	43	10,105	10,107	10,102	3770	25,7	6330,3	-7,2
8	0,236	42	10,105	10,107	10,102	4474	26,2	6330,4	-17,6
9	0,234	42	10,105	10,107	10,103	5178	26,7	6330,5	-27,9
10	0,230	41	10,105	10,107	10,103	5276	28,1	6330,6	-38,2
11	0,227	41	10,105	10,107	10,103	5373	29,6	6330,6	-58,9
12	0,224	41	10,105	10,107	10,103	5470	31,0	6330,7	-79,6
13	0,223	41	10,105	10,107	10,103	5473	31,7	6330,7	-100,3
14	0,223	41	10,105	10,107	10,103	5477	32,5	6330,9	-62,3
15	0,221	41	10,105	10,107	10,103	5480	33,2	6331,1	-24,3
16	0,218	41	10,105	10,107	10,103	5480	34,0	6331,2	-33,6
17	0,217	41	10,105	10,107	10,103	5480	34,9	6331,3	-43,2
18	0,216	41	10,105	10,107	10,103	5473	36,3	6331,6	-30,3
19	0,216	41	10,105	10,107	10,103	5467	37,6	6331,9	-17,1
20	0,215	41	10,105	10,107	10,103	5460	39,0	6332,2	-3,9
21	0,214	41	10,105	10,107	10,103	5450	39,8	6332,9	-3,9
22	0,213	41	10,105	10,107	10,103	5440	40,7	6333,7	-3,9
23	0,209	41	10,105	10,107	10,103	5433	41,5	6335,6	-17,2
24	0,210	41	10,105	10,107	10,102	5427	42,2	6337,6	-30,6
25	0,208	41	10,105	10,107	10,102	5420	43,0	6339,5	-44,0
26	0,206	42	10,105	10,107	10,102	5415	43,0	6339,5	-68,7
27	0,204	42	10,105	10,107	10,102	5410	43,0	6339,5	-93,3
28	0,204	42	10,105	10,107	10,102	5400	44,8	6354,1	-92,6
29	0,203	42	10,105	10,107	10,103	5390	46,7	6368,7	-91,9
30	0,201	42	10,105	10,107	10,103	5380	48,5	6383,4	-91,1
31	0,201	42	10,105	10,107	10,103	5373	49,0	6383,9	-56,2
32	0,201	42	10,105	10,107	10,103	5367	49,6	6384,4	-21,0
33	0,200	42	10,105	10,107	10,103	5360	50,1	6384,8	14,3
34	0,199	42	10,105	10,107	10,103	5350	51,1	6385,9	14,4
35	0,198	42	10,105	10,107	10,103	5340	52,2	6387,0	14,4
36	0,196	42	10,105	10,107	10,103	5327	53,2	6388,8	-39,3
37	0,196	42	10,105	10,107	10,103	5313	54,3	6390,7	-93,1
38	0,195	42	10,105	10,107	10,103	5300	55,3	6392,5	-146,8
39	0,194	42	10,105	10,107	10,103	5285	56,1	6398,0	-94,7
40	0,193	42	10,105	10,107	10,103	5270	56,9	6403,4	-42,6
41	0,193	42	10,105	10,107	10,103	5260	57,8	6399,8	-61,8
42	0,193	42	10,105	10,107	10,103	5250	58,8	6396,1	-81,0
43	0,191	42	10,105	10,107	10,103	5240	59,5	6399,2	-33,0
44	0,188	42	10,105	10,107	10,102	5230	60,3	6402,4	15,2
45	0,188	42	10,105	10,107	10,102	5227	60,8	6406,7	-3,7
46	0,188	42	10,105	10,107	10,102	5223	61,3	6411,0	-23,1
47	0,185	42	10,105	10,107	10,102	5220	61,8	6415,3	-42,6
48	0,186	42	10,105	10,107	10,102	5210	62,4	6411,1	-55,1
49	0,184	42	10,105	10,107	10,103	5200	63,1	6407,0	-67,7
50	0,184	42	10,105	10,107	10,103	5190	63,7	6402,8	-80,2
51	0,183	42	10,105	10,107	10,103	5183	64,3	6413,8	-79,5
52	0,183	42	10,105	10,107	10,103	5177	64,9	6424,7	-78,8
53	0,179	42	10,105	10,107	10,103	5170	65,5	6434,4	-78,1
54	0,179	42	10,105	10,107	10,103	5160	66,9	3235,1	-74,5
55	0,177	42	10,105	10,107	10,103	5150	68,3	35,8	-70,8
56	0,177	42	10,105	10,107	10,103	5137	68,8	34,0	-37,2
57	0,176	42	10,105	10,107	10,102	5123	69,2	33,8	-3,6
