time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,105	10,107	10,103	0	0,0	25,1	0,0
1	0,017	0	10,105	10,107	10,103	0	0,0	25,1	0,0
2	0,017	9	10,105	10,107	10,102	0	24,2	25,1	0,0
3	0,017	9	10,105	10,107	10,102	0	24,2	25,1	-20,0
4	0,716	9	10,105	10,107	10,102	0	24,2	25,1	-66,0
5	0,446	9	10,105	10,107	10,102	1223	24,2	25,1	-111,9
6	0,408	9	10,105	10,107	10,102	2446	24,2	25,1	-130,5
7	0,469	10	10,105	10,107	10,102	3670	24,2	25,0	-149,0
8	0,504	11	10,105	10,107	10,102	4303	24,2	25,0	-149,0
9	0,508	10	10,105	10,107	10,102	4936	24,2	25,0	-149,0
10	0,510	10	10,105	10,107	10,102	5569	24,2	25,0	-149,0
11	0,516	10	10,105	10,107	10,102	5616	24,2	25,0	-153,0
12	0,551	10	10,105	10,107	10,102	5662	24,2	25,0	-156,9
13	0,540	10	10,105	10,107	10,102	5709	24,2	25,0	-160,9
14	0,509	10	10,105	10,107	10,102	5707	24,2	25,0	-175,1
15	0,506	10	10,105	10,107	10,102	5703	24,2	25,0	-189,6
16	0,504	10	10,105	10,107	10,102	5700	24,2	25,0	-204,2
17	0,531	10	10,105	10,107	10,102	5693	24,2	25,0	-197,9
18	0,539	9	10,105	10,107	10,102	5687	24,2	25,0	-191,6
19	0,503	10	10,105	10,107	10,102	5680	24,2	25,0	-185,3
20	0,504	10	10,105	10,107	10,102	5675	24,2	25,0	-191,4
21	0,504	10	10,105	10,107	10,102	5670	24,2	25,0	-197,5
22	0,491	10	10,105	10,107	10,102	5665	24,2	25,0	-189,6
23	0,496	10	10,105	10,107	10,102	5660	24,2	25,0	-181,7
24	0,498	10	10,105	10,107	10,102	5660	24,2	25,0	-181,7
25	0,491	10	10,105	10,107	10,102	5660	24,2	25,0	-181,7
26	0,491	10	10,105	10,107	10,102	5660	24,2	25,0	-181,7
27	0,487	10	10,105	10,107	10,102	5655	24,2	25,0	-171,8
28	0,478	10	10,105	10,107	10,102	5650	24,2	25,0	-162,0
29	0,476	10	10,105	10,107	10,102	5647	24,2	25,0	-161,2
30	0,486	10	10,105	10,107	10,102	5643	24,2	25,0	-160,4
31	0,481	10	10,105	10,107	10,102	5640	24,2	25,0	-159,6
32	0,487	10	10,105	10,107	10,102	5633	24,2	25,0	-159,6
33	0,482	10	10,105	10,107	10,102	5627	24,2	25,0	-159,6
34	0,486	10	10,105	10,107	10,102	5620	24,2	25,0	-159,6
35	0,481	10	10,105	10,107	10,102	5613	24,2	25,0	-164,9
36	0,466	10	10,105	10,107	10,102	5607	24,2	25,0	-170,3
37	0,463	10	10,105	10,107	10,102	5600	24,2	25,0	-175,6
38	0,473	10	10,105	10,107	10,102	5600	24,2	25,0	-175,6
