time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	2,260	2,504	2,229	0	0,0	9,3	0,0
1	0,000	0	2,300	2,501	2,180	0	0,0	9,3	0,0
2	0,000	45	2,339	2,499	2,132	0	25,4	9,3	0,0
3	0,000	45	2,379	2,496	2,083	0	25,5	9,3	0,0
4	0,165	45	2,360	3,054	1,673	0	25,7	2149,3	-0,9
5	0,218	45	2,341	3,614	1,263	684	26,4	4295,3	-1,7
6	0,281	44	2,322	4,173	0,852	1372	27,2	6440,8	-2,6
7	0,294	44	2,322	4,173	0,852	2060	27,9	6387,9	-37,2
8	0,292	44	2,322	4,173	0,852	3412	28,8	6335,0	-71,7
9	0,288	42	2,345	3,926	0,969	4764	29,7	6356,2	-96,9
10	0,293	42	2,369	3,679	1,086	5072	30,2	6377,5	-122,0
11	0,286	41	2,392	3,432	1,203	5376	30,7	6398,8	-147,1
12	0,286	41	2,515	3,612	1,208	5680	31,2	6418,5	-146,1
13	0,286	41	2,639	3,792	1,214	5680	32,0	6438,3	-145,1
14	0,286	41	2,744	3,934	1,005	5680	32,8	3180,6	-144,5
15	0,281	41	2,850	4,076	0,796	5680	33,6	-79,3	-143,8
16	0,283	41	2,651	3,818	0,888	5680	34,5	2093,0	-146,2
17	0,282	41	2,451	3,560	0,979	5673	35,8	4269,2	-148,5
18	0,277	41	2,251	3,302	1,071	5667	37,2	6445,3	-150,9
19	0,277	41	2,251	3,302	1,071	5660	38,5	3254,2	-111,0
20	0,276	41	2,251	3,302	1,071	5657	39,3	54,6	-71,0
21	0,277	41	2,377	3,432	1,057	5653	40,0	21,1	-97,9
22	0,274	41	2,505	3,563	1,042	5650	40,8	23,8	-125,6
23	0,269	41	2,633	3,694	1,028	5627	41,9	26,5	-153,1
24	0,265	41	2,581	3,814	1,058	5603	43,1	26,5	-109,9
25	0,265	41	2,529	3,933	1,088	5580	44,2	26,5	-66,6
26	0,264	41	2,529	3,933	1,088	5575	45,3	26,7	-97,3
27	0,262	41	2,529	3,933	1,088	5570	46,4	27,0	-128,0
28	0,255	41	2,473	3,764	1,055	5555	47,2	27,1	-128,0
29	0,261	41	2,416	3,595	1,022	5540	48,0	27,3	-128,0
30	0,261	41	2,416	3,595	1,022	5530	48,6	27,5	-133,4
31	0,254	41	2,416	3,595	1,022	5520	49,1	27,6	-138,8
32	0,250	42	2,416	3,595	1,022	5510	49,7	27,8	-144,2
33	0,258	42	2,532	3,750	1,026	5500	50,7	28,1	-104,8
