time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,109	10,112	10,107	0	0,0	23,8	0,0
1	0,000	9	10,109	10,112	10,107	0	23,1	23,8	0,0
2	0,000	9	10,109	10,111	10,107	0	23,1	23,8	0,0
3	0,075	9	10,109	10,112	10,107	0	23,1	23,8	-706,7
4	0,598	9	10,109	10,112	10,107	270	23,1	23,8	-1,3
5	0,601	11	10,109	10,112	10,107	540	23,1	23,8	-20,1
6	0,391	14	10,109	10,112	10,107	1390	23,1	23,8	-40,2
7	0,391	14	10,109	10,112	10,107	2240	23,1	23,8	-60,5
8	0,433	14	10,109	10,111	10,107	3090	23,1	23,8	-80,8
9	0,392	14	10,109	10,111	10,107	4179	23,1	23,8	-101,1
10	0,433	14	10,109	10,111	10,107	5268	23,1	23,8	-155,3
11	0,399	14	10,109	10,111	10,107	5355	23,1	23,8	-209,4
12	0,431	14	10,109	10,111	10,107	5440	23,1	23,8	-160,7
13	0,394	14	10,109	10,111	10,107	5437	23,1	23,8	-111,8
14	0,433	14	10,109	10,111	10,107	5433	23,1	23,8	-62,9
15	0,393	14	10,109	10,111	10,107	5430	23,1	23,8	-132,7
16	0,431	14	10,109	10,111	10,107	5425	23,1	23,8	-202,6
17	0,393	14	10,109	10,111	10,107	5420	23,1	23,8	-166,7
18	0,428	14	10,109	10,111	10,107	5417	23,1	23,8	-130,8
19	0,396	14	10,109	10,111	10,107	5413	23,1	23,8	-95,0
20	0,434	14	10,109	10,111	10,107	5410	23,1	23,8	-149,0
21	0,380	15	10,109	10,111	10,107	5410	23,1	23,8	-203,2
22	0,410	15	10,109	10,111	10,107	5410	23,1	23,8	-154,0
23	0,400	15	10,109	10,111	10,107	5400	23,1	23,8	-104,5
24	0,402	14	10,109	10,111	10,107	5390	23,1	23,8	-55,1
25	0,394	14	10,109	10,111	10,107	5380	23,1	23,8	-103,9
26	0,436	14	10,109	10,112	10,107	5375	23,1	23,8	-152,7
27	0,395	14	10,109	10,112	10,107	5370	23,1	23,8	-201,5
28	0,423	14	10,109	10,112	10,107	5365	23,1	23,8	-200,9
29	0,421	13	10,109	10,111	10,107	5360	23,1	23,8	-200,2
30	0,418	13	10,109	10,111	10,107	5350	23,1	23,8	-147,7
31	0,429	13	10,109	10,111	10,107	5340	23,1	23,8	-95,2
32	0,397	13	10,109	10,111	10,107	5337	23,1	23,8	-95,1
33	0,421	13	10,109	10,111	10,107	5333	23,1	23,8	-95,1
