time	Friction coeff	Load [N]	Resistance average [Ohm]	Resistance max [Ohm]	Resistance min [Ohm]	Stroke [µm]	Temp. Block [°C]	Temp. surface [°C]	Wear [µm] 
0	0,000	0	10,107	10,109	10,105	0	0,0	23,8	0,0
1	0,000	10	10,107	10,109	10,105	0	23,0	23,8	0,0
2	0,434	10	10,107	10,109	10,105	0	23,0	23,8	-1223,6
3	0,434	10	10,107	10,109	10,105	0	23,0	23,8	-841,6
4	0,632	10	10,107	10,109	10,104	160	23,0	23,8	-459,7
5	0,409	11	10,107	10,109	10,104	321	23,0	23,8	-78,1
6	0,323	11	10,107	10,109	10,104	1510	23,0	23,8	-102,0
7	0,337	14	10,107	10,109	10,104	2699	23,0	23,8	-125,8
8	0,303	14	10,107	10,109	10,104	3520	23,0	23,8	-125,8
9	0,334	14	10,107	10,109	10,104	4340	23,0	23,8	-125,8
10	0,299	14	10,107	10,109	10,104	5160	23,0	23,8	-125,8
11	0,321	13	10,107	10,109	10,104	5163	23,0	23,8	-106,0
12	0,289	13	10,107	10,109	10,104	5167	23,0	23,7	-86,2
13	0,319	14	10,107	10,109	10,104	5170	23,0	23,7	-66,6
14	0,291	14	10,107	10,109	10,104	5165	23,1	23,7	-93,3
15	0,318	14	10,107	10,109	10,104	5160	23,1	23,7	-120,0
16	0,285	14	10,107	10,109	10,104	5150	23,1	23,7	-157,9
17	0,308	14	10,107	10,109	10,104	5140	23,1	23,7	-195,6
18	0,281	14	10,107	10,109	10,104	5137	23,1	23,7	-153,6
19	0,314	13	10,107	10,109	10,104	5133	23,0	23,7	-111,5
20	0,284	13	10,107	10,109	10,104	5130	23,0	23,7	-69,7
21	0,301	14	10,107	10,109	10,105	5125	23,0	23,7	-131,7
22	0,301	14	10,107	10,109	10,105	5120	23,0	23,7	-193,5
23	0,313	13	10,107	10,109	10,105	5113	23,0	23,7	-156,8
24	0,265	14	10,107	10,109	10,104	5107	23,1	23,7	-120,1
25	0,281	15	10,107	10,109	10,104	5100	23,1	23,7	-83,5
26	0,301	15	10,107	10,109	10,104	5095	23,0	23,7	-101,4
27	0,301	14	10,107	10,109	10,104	5090	23,0	23,7	-119,3
28	0,278	13	10,107	10,109	10,104	5085	23,1	23,7	-97,7
29	0,298	14	10,107	10,109	10,104	5080	23,1	23,7	-76,2
30	0,278	14	10,107	10,109	10,104	5073	23,1	23,7	-76,2
31	0,303	14	10,107	10,109	10,104	5067	23,0	23,7	-76,2
32	0,278	13	10,107	10,109	10,104	5060	23,0	23,7	-76,2
33	0,294	13	10,107	10,109	10,104	5053	23,0	23,7	-70,9
34	0,299	13	10,107	10,109	10,104	5047	23,1	23,7	-65,6
35	0,308	13	10,107	10,109	10,104	5040	23,1	23,7	-60,3
36	0,279	14	10,107	10,109	10,104	5037	23,1	23,7	-80,8
37	0,298	14	10,106	10,109	10,104	5033	23,1	23,7	-101,3
38	0,301	14	10,106	10,109	10,104	5030	23,1	23,7	-121,7
39	0,301	13	10,106	10,109	10,104	5023	23,1	23,7	-102,4
40	0,286	13	10,106	10,109	10,105	5017	23,1	23,7	-83,2
41	0,299	14	10,106	10,109	10,105	5010	23,1	23,7	-64,0
42	0,281	14	10,106	10,109	10,105	5007	23,1	23,7	-83,9
43	0,299	14	10,107	10,109	10,104	5003	23,1	23,7	-103,8
44	0,283	14	10,107	10,109	10,104	5000	23,1	23,7	-123,7
45	0,276	14	10,107	10,109	10,104	4995	23,1	23,7	-156,3
